Time (s),MCU_SEL,REG_DSEE,SRAM_SEL,REG_SET,MCU_SEFI,SRAM_TID,MCU_TID,REG_TID,WDT_TID
13679.0,0.9999999999895034,1.1395476364398782e-05,1.0,0.9999999999999996,0.9999999999999997,0.0,0.0,0.0,0.0
13919.0,0.9999999999895048,1.1422663777432549e-05,1.0,0.9999999999999996,0.9999999999999997,0.0,0.0,0.0,0.0
14160.0,0.9999999999895062,1.1449798092030143e-05,0.9999999999999999,0.9999999999999996,0.9999999999999997,0.0,0.0,0.0,0.0
14400.0,0.9999999999895076,1.147690108763568e-05,0.9999999999999998,0.9999999999999997,0.9999999999999996,0.0,0.0,0.0,0.0
14639.0,0.999999999989509,1.1503770522351476e-05,0.9999999999999998,0.9999999999999996,0.9999999999999997,0.0,0.0,0.0,0.0
14879.0,0.9999999999895104,1.1530427243058414e-05,0.9999999999999999,0.9999999999999997,0.9999999999999996,0.0,0.0,0.0,0.0
15120.0,0.999999999989512,1.1557113394061657e-05,0.9999999999999999,0.9999999999999996,0.9999999999999996,0.0,0.0,0.0,0.0
15360.0,0.9999999999895135,1.1583846297857479e-05,0.9999999999999999,0.9999999999999996,0.9999999999999994,0.0,0.0,0.0,0.0
15600.0,0.999999999989515,1.1610420773948245e-05,0.9999999999999999,0.9999999999999997,0.9999999999999996,0.0,0.0,0.0,0.0
15839.0,0.9999999999895166,1.1636962067816385e-05,1.0,0.9999999999999997,0.9999999999999997,0.0,0.0,0.0,0.0
16079.0,0.9999999999895182,1.1663372674595944e-05,0.9999999999999999,0.9999999999999998,0.9999999999999997,0.0,0.0,0.0,0.0
16320.0,0.9999999999895198,1.1689885087497021e-05,1.0,0.9999999999999998,0.9999999999999996,0.0,0.0,0.0,0.0
16560.0,0.9999999999895214,1.1716508993316222e-05,1.0,0.9999999999999999,0.9999999999999994,0.0,0.0,0.0,0.0
16799.0,0.9999999999895229,1.174303148873507e-05,1.0,0.9999999999999999,0.9999999999999993,0.0,0.0,0.0,0.0
17039.0,0.9999999999895246,1.1769459189169897e-05,1.0,0.9999999999999998,0.9999999999999993,0.0,0.0,0.0,0.0
17280.0,0.9999999999895262,1.1796018287805859e-05,1.0,0.9999999999999998,0.9999999999999994,0.0,0.0,0.0,0.0
17520.0,0.9999999999895278,1.1822712480188293e-05,1.0,0.9999999999999997,0.9999999999999994,0.0,0.0,0.0,0.0
17760.0,0.9999999999895293,1.1849322505957544e-05,1.0,0.9999999999999997,0.9999999999999996,0.0,0.0,0.0,0.0
17999.0,0.9999999999895307,1.1875959886589871e-05,0.9999999999999999,0.9999999999999996,0.9999999999999994,0.0,0.0,0.0,0.0
18239.0,0.9999999999895322,1.1902513558911148e-05,0.9999999999999999,0.9999999999999996,0.9999999999999994,0.0,0.0,0.0,0.0
18480.0,0.9999999999895336,1.1929204191338512e-05,0.9999999999999998,0.9999999999999996,0.9999999999999993,0.0,0.0,0.0,0.0
18720.0,0.999999999989535,1.1956029747625253e-05,0.9999999999999997,0.9999999999999996,0.9999999999999993,0.0,0.0,0.0,0.0
18959.0,0.9999999999895366,1.198275477891743e-05,0.9999999999999996,0.9999999999999994,0.9999999999999994,0.0,0.0,0.0,0.0
19199.0,0.999999999989538,1.2009390160060392e-05,0.9999999999999994,0.9999999999999993,0.9999999999999996,0.0,0.0,0.0,0.0
19440.0,0.9999999999895396,1.2036150402225237e-05,0.9999999999999994,0.9999999999999993,0.9999999999999996,0.0,0.0,0.0,0.0
19680.0,0.999999999989541,1.2063030279312015e-05,0.9999999999999994,0.9999999999999993,0.9999999999999997,0.0,0.0,0.0,0.0
19920.0,0.9999999999895424,1.2089800757284437e-05,0.9999999999999993,0.9999999999999993,0.9999999999999997,0.0,0.0,0.0,0.0
20159.0,0.9999999999895439,1.2116568388184813e-05,0.9999999999999993,0.9999999999999993,0.9999999999999996,0.0,0.0,0.0,0.0
20399.0,0.9999999999895455,1.214321677897404e-05,0.9999999999999993,0.9999999999999994,0.9999999999999994,0.0,0.0,0.0,0.0
20640.0,0.9999999999895468,1.2169963939955319e-05,0.9999999999999994,0.9999999999999993,0.9999999999999996,0.0,0.0,0.0,0.0
20880.0,0.9999999999895484,1.2196805193697035e-05,0.9999999999999994,0.9999999999999993,0.9999999999999996,0.0,0.0,0.0,0.0
21119.0,0.9999999999895498,1.2223514153157053e-05,0.9999999999999994,0.9999999999999992,0.9999999999999994,0.0,0.0,0.0,0.0
21359.0,0.9999999999895514,1.225008778625295e-05,0.9999999999999994,0.9999999999999993,0.9999999999999996,0.0,0.0,0.0,0.0
21600.0,0.9999999999895528,1.2276746158041494e-05,0.9999999999999994,0.9999999999999992,0.9999999999999994,0.0,0.0,0.0,0.0
21840.0,0.9999999999895542,1.2303488026080579e-05,0.9999999999999994,0.9999999999999993,0.9999999999999994,0.0,0.0,0.0,0.0
22080.0,0.9999999999895558,1.2330091132221727e-05,0.9999999999999993,0.9999999999999994,0.9999999999999994,0.0,0.0,0.0,0.0
22319.0,0.9999999999895575,1.235666784464861e-05,0.9999999999999993,0.9999999999999993,0.9999999999999994,0.0,0.0,0.0,0.0
22559.0,0.999999999989559,1.2383109962475393e-05,0.9999999999999993,0.9999999999999994,0.9999999999999993,0.0,0.0,0.0,0.0
22800.0,0.9999999999895605,1.240964289860754e-05,0.9999999999999993,0.9999999999999993,0.9999999999999994,0.0,0.0,0.0,0.0
23040.0,0.9999999999895621,1.243627222462294e-05,0.9999999999999994,0.9999999999999992,0.9999999999999994,0.0,0.0,0.0,0.0
23279.0,0.9999999999895636,1.2462784294072483e-05,0.9999999999999996,0.9999999999999991,0.9999999999999994,0.0,0.0,0.0,0.0
23519.0,0.9999999999895651,1.2489188174710077e-05,0.9999999999999997,0.999999999999999,0.9999999999999996,0.0,0.0,0.0,0.0
23760.0,0.9999999999895667,1.2515715705416794e-05,0.9999999999999997,0.9999999999999991,0.9999999999999994,0.0,0.0,0.0,0.0
24000.0,0.9999999999895683,1.254237965880578e-05,0.9999999999999997,0.9999999999999991,0.9999999999999996,0.0,0.0,0.0,0.0
24240.0,0.9999999999895699,1.2568973243766544e-05,0.9999999999999997,0.9999999999999991,0.9999999999999996,0.0,0.0,0.0,0.0
24479.0,0.9999999999895716,1.2595623402164902e-05,0.9999999999999996,0.9999999999999991,0.9999999999999997,0.0,0.0,0.0,0.0
24719.0,0.999999999989573,1.2622237127455184e-05,0.9999999999999996,0.999999999999999,0.9999999999999997,0.0,0.0,0.0,0.0
24960.0,0.9999999999895745,1.264905666524815e-05,0.9999999999999996,0.999999999999999,0.9999999999999997,0.0,0.0,0.0,0.0
25200.0,0.999999999989576,1.2676104625044212e-05,0.9999999999999994,0.9999999999999989,0.9999999999999997,0.0,0.0,0.0,0.0
25439.0,0.9999999999895774,1.2703179880150033e-05,0.9999999999999996,0.9999999999999988,0.9999999999999997,0.0,0.0,0.0,0.0
25679.0,0.9999999999895788,1.2730305933020133e-05,0.9999999999999997,0.9999999999999989,0.9999999999999996,0.0,0.0,0.0,0.0
25920.0,0.99999999998958,1.2757735757957718e-05,0.9999999999999996,0.9999999999999988,0.9999999999999996,0.0,0.0,0.0,0.0
26160.0,0.9999999999895813,1.2785497394594906e-05,0.9999999999999994,0.9999999999999989,0.9999999999999996,0.0,0.0,0.0,0.0
26400.0,0.9999999999895823,1.2813389106635658e-05,0.9999999999999993,0.9999999999999989,0.9999999999999994,0.0,0.0,0.0,0.0
26639.0,0.9999999999895833,1.2841553219062414e-05,0.9999999999999993,0.9999999999999989,0.9999999999999993,0.0,0.0,0.0,0.0
26879.0,0.9999999999895844,1.2869899893536714e-05,0.9999999999999993,0.999999999999999,0.9999999999999993,0.0,0.0,0.0,0.0
27120.0,0.9999999999895854,1.2898693670025614e-05,0.9999999999999992,0.9999999999999989,0.9999999999999993,0.0,0.0,0.0,0.0
27360.0,0.9999999999895862,1.2927963146800789e-05,0.9999999999999992,0.999999999999999,0.9999999999999994,0.0,0.0,0.0,0.0
27599.0,0.9999999999895869,1.2957489464166446e-05,0.9999999999999992,0.9999999999999991,0.9999999999999993,0.0,0.0,0.0,0.0
