Run,REG_TID,REG_DSEE,MCU_TID,MCU_SEL,MCU_SEFI,SRAM_SEL,SRAM_TID,REG,MCU,SRAM,Payload
5992,inf,126635198.12383606,inf,711.9459743784527,383.1549358207116,636.4376025581273,inf,126635198.12383606,383.1549358207116,636.4376025581273,383.1549358207116
5993,inf,71113024.98654367,inf,826.1937446565457,491.40448828803454,517.9747955280112,inf,71113024.98654367,491.40448828803454,517.9747955280112,491.40448828803454
5994,inf,120405611.86874533,inf,698.0010306504132,467.6142529114991,619.5918612885271,inf,120405611.86874533,467.6142529114991,619.5918612885271,467.6142529114991
5995,inf,78602115.22078349,inf,476.07792856909913,691.3477712035317,388.87267883589897,inf,78602115.22078349,476.07792856909913,388.87267883589897,388.87267883589897
5996,inf,29098125.28624143,inf,535.8765335219105,255.56087402623353,618.191755637063,inf,29098125.28624143,255.56087402623353,618.191755637063,255.56087402623353
5997,inf,77166615.23004186,inf,667.7163433050506,681.0750766897947,625.3626887731527,inf,77166615.23004186,667.7163433050506,625.3626887731527,625.3626887731527
5998,inf,115425583.05182631,inf,187.5059756259156,770.8912122211752,399.2520627027906,inf,115425583.05182631,187.5059756259156,399.2520627027906,187.5059756259156
5999,inf,57930898.34145406,inf,780.791718356406,654.9811120433077,37.674794462471034,inf,57930898.34145406,654.9811120433077,37.674794462471034,37.674794462471034
6000,inf,14627971.768528165,inf,828.030640820656,704.3812068821179,716.3537010385616,inf,14627971.768528165,704.3812068821179,716.3537010385616,704.3812068821179
6001,inf,126062946.12257612,inf,789.1719335142038,572.8618026623504,523.3142132094713,inf,126062946.12257612,572.8618026623504,523.3142132094713,523.3142132094713
6002,inf,113324247.69328876,inf,831.9689700176338,613.4716634072105,664.0301977498808,inf,113324247.69328876,613.4716634072105,664.0301977498808,613.4716634072105
6003,inf,59208708.652242124,inf,594.9734711523477,606.0987122427626,717.4290432526782,inf,59208708.652242124,594.9734711523477,717.4290432526782,594.9734711523477
6004,inf,65815652.29883145,inf,978.340778481942,399.4521184198309,599.361314017096,inf,65815652.29883145,399.4521184198309,599.361314017096,399.4521184198309
6005,inf,91243060.63689941,inf,614.3091158374706,778.4007735165188,179.85492361378417,inf,91243060.63689941,614.3091158374706,179.85492361378417,179.85492361378417
6006,inf,83658881.58175285,inf,664.4773212276231,662.9324999876246,533.4838040932102,inf,83658881.58175285,662.9324999876246,533.4838040932102,533.4838040932102
6007,inf,17154447.95051193,inf,563.7186904743435,447.56341980703394,491.7278215578013,inf,17154447.95051193,447.56341980703394,491.7278215578013,447.56341980703394
6008,inf,16336694.135996275,inf,802.8587530150904,231.2500204818725,457.82966750915233,inf,16336694.135996275,231.2500204818725,457.82966750915233,231.2500204818725
6009,inf,115373950.96500584,inf,669.4188648643076,428.5394056033179,546.6931542325318,inf,115373950.96500584,428.5394056033179,546.6931542325318,428.5394056033179
6010,inf,44284309.267899044,inf,1020.6304793766469,485.9157400175412,524.7819760853176,inf,44284309.267899044,485.9157400175412,524.7819760853176,485.9157400175412
6011,inf,84921544.04090738,inf,661.0254904222097,662.431170146346,592.0066702171983,inf,84921544.04090738,661.0254904222097,592.0066702171983,592.0066702171983
6012,inf,2172999.299513122,inf,643.6801456379364,679.3481551463501,704.8470309467557,inf,2172999.299513122,643.6801456379364,704.8470309467557,643.6801456379364
6013,inf,96444018.91896154,inf,783.8462314088013,778.0009864356997,183.68291668871905,inf,96444018.91896154,778.0009864356997,183.68291668871905,183.68291668871905
6014,inf,17945624.25451044,inf,542.4070936649551,501.0680970359096,469.0984727230409,inf,17945624.25451044,501.0680970359096,469.0984727230409,469.0984727230409
