Time (hrs),SRAM_SEFI,SRAM_SEL,SRAM_TID,MCU_SEFI,MCU_SEL,MCU_TID,REG_SEGR,REG_TID,System,SRAM,MCU,REG
78.39618806222835,1.489190315107081e-05,0.0,0.0,3.539781749484216e-05,2.58482125e-12,0.0,0.0,0.0,5.028919608973432e-05,1.489190315107081e-05,3.539782007957191e-05,0.0
78.41269599822797,1.308769339847249e-05,0.0,0.0,3.11039973237559e-05,2.58482125e-12,0.0,0.0,0.0,4.419128622735496e-05,1.308769339847249e-05,3.110399990849675e-05,0.0
78.4292039342276,1.123663710855816e-05,0.0,0.0,2.670291205597586e-05,2.58482125e-12,0.0,0.0,0.0,3.79392516983247e-05,1.123663710855816e-05,2.670291464072809e-05,0.0
78.44571187022723,9.44987026119115e-06,0.0,0.0,2.246162429975218e-05,2.58482125e-12,0.0,0.0,0.0,3.191128488624661e-05,9.44987026119115e-06,2.246162688451537e-05,0.0
78.46221980622686,7.80475556427795e-06,0.0,0.0,1.854221546837564e-05,2.58482125e-12,0.0,0.0,0.0,2.634682889994738e-05,7.80475556427795e-06,1.854221805314896e-05,0.0
78.47872774222648,6.12930439192194e-06,0.0,0.0,1.455817914797208e-05,2.58482125e-12,0.0,0.0,0.0,2.068739689315041e-05,6.12930439192194e-06,1.45581817327557e-05,0.0
78.49523567822611,4.64489397467016e-06,0.0,0.0,1.103437656180262e-05,2.58482125e-12,0.0,0.0,0.0,1.56792218677443e-05,4.64489397467016e-06,1.103437914659535e-05,0.0
78.51174361422574,3.49695668222516e-06,0.0,0.0,8.31707199777654e-06,2.58482125e-12,0.0,0.0,0.0,1.181400218035191e-05,3.49695668222516e-06,8.31707458257629e-06,0.0
78.52825155022536,2.5059417509965e-06,0.0,0.0,5.95967553751464e-06,2.58482125e-12,0.0,0.0,0.0,8.46560493871076e-06,2.5059417509965e-06,5.95967812232049e-06,0.0
78.54475948622499,1.73924904989242e-06,0.0,0.0,4.14383823166276e-06,2.58482125e-12,0.0,0.0,0.0,5.88308265919452e-06,1.73924904989242e-06,4.1438408164733e-06,0.0
78.56126742222462,1.19196332326599e-06,0.0,0.0,2.84222445678939e-06,2.58482125e-12,0.0,0.0,0.0,4.03418697703889e-06,1.19196332326599e-06,2.84222704160329e-06,0.0
78.57777535822424,6.9383218515018e-07,0.0,0.0,1.65490527814782e-06,2.58482125e-12,0.0,0.0,0.0,2.34873889988663e-06,6.9383218515018e-07,1.65490786296479e-06,0.0
78.59428329422387,2.9839385362607e-07,0.0,0.0,7.1253447364583e-07,2.58482125e-12,0.0,0.0,0.0,1.01093069947463e-06,2.9839385362607e-07,7.1253705846524e-07,0.0
78.6107912302235,7.081180386503e-08,0.0,0.0,1.785363042961e-07,2.58482125e-12,0.0,0.0,0.0,2.4935068033926e-07,7.081180386503e-08,1.7853888911689e-07,0.0
78.62729916622312,1.048204056886e-08,0.0,0.0,3.241243551333e-08,2.58482125e-12,0.0,0.0,0.0,4.289706056358e-08,1.048204056886e-08,3.24150203345e-08,0.0
78.64380710222275,5.782596624e-11,0.0,0.0,3.1091329511e-10,2.58482125e-12,0.0,0.0,0.0,3.7132408258e-10,5.782596624e-11,3.1349811636e-10,0.0
78.66031503822238,5.782596624e-11,0.0,0.0,3.1091329511e-10,2.58482125e-12,0.0,0.0,0.0,3.7132408258e-10,5.782596624e-11,3.1349811636e-10,0.0
78.676822974222,5.782596624e-11,0.0,0.0,3.1091329511e-10,2.58482125e-12,0.0,0.0,0.0,3.7132408258e-10,5.782596624e-11,3.1349811636e-10,0.0
78.69333091022163,5.782596624e-11,0.0,0.0,3.1091329511e-10,2.58482125e-12,0.0,0.0,0.0,3.7132408258e-10,5.782596624e-11,3.1349811636e-10,0.0
78.70983884622126,5.782596624e-11,0.0,0.0,3.1091329511e-10,2.58482125e-12,0.0,0.0,0.0,3.7132408258e-10,5.782596624e-11,3.1349811636e-10,0.0
78.72634678222089,5.782596624e-11,0.0,0.0,3.1091329511e-10,2.58482125e-12,0.0,0.0,0.0,3.7132408258e-10,5.782596624e-11,3.1349811636e-10,0.0
78.74285471822051,5.782596624e-11,0.0,0.0,3.1091329511e-10,2.58482125e-12,0.0,0.0,0.0,3.7132408258e-10,5.782596624e-11,3.1349811636e-10,0.0
78.75936265422014,5.782596624e-11,0.0,0.0,3.1091329511e-10,2.58482125e-12,0.0,0.0,0.0,3.7132408258e-10,5.782596624e-11,3.1349811636e-10,0.0
78.77587059021977,5.782596624e-11,0.0,0.0,3.1091329511e-10,2.58482125e-12,0.0,0.0,0.0,3.7132408258e-10,5.782596624e-11,3.1349811636e-10,0.0
78.7923785262194,5.782596624e-11,0.0,0.0,3.1091329511e-10,2.58482125e-12,0.0,0.0,0.0,3.7132408258e-10,5.782596624e-11,3.1349811636e-10,0.0
78.80888646221902,5.782596624e-11,0.0,0.0,3.1091329511e-10,2.58482125e-12,0.0,0.0,0.0,3.7132408258e-10,5.782596624e-11,3.1349811636e-10,0.0
78.82539439821865,5.782596624e-11,0.0,0.0,3.1091329511e-10,2.58482125e-12,0.0,0.0,0.0,3.7132408258e-10,5.782596624e-11,3.1349811636e-10,0.0
78.84190233421828,5.782596624e-11,0.0,0.0,3.1091329511e-10,2.58482125e-12,0.0,0.0,0.0,3.7132408258e-10,5.782596624e-11,3.1349811636e-10,0.0
78.8584102702179,5.782596624e-11,0.0,0.0,3.1091329511e-10,2.58482125e-12,0.0,0.0,0.0,3.7132408258e-10,5.782596624e-11,3.1349811636e-10,0.0
78.87491820621753,5.782596624e-11,0.0,0.0,3.1091329511e-10,2.58482125e-12,0.0,0.0,0.0,3.7132408258e-10,5.782596624e-11,3.1349811636e-10,0.0
78.89142614221716,5.782596624e-11,0.0,0.0,3.1091329511e-10,2.58482125e-12,0.0,0.0,0.0,3.7132408258e-10,5.782596624e-11,3.1349811636e-10,0.0
78.90793407821678,5.782596624e-11,0.0,0.0,3.1091329511e-10,2.58482125e-12,0.0,0.0,0.0,3.7132408258e-10,5.782596624e-11,3.1349811636e-10,0.0
78.92444201421641,5.782596624e-11,0.0,0.0,3.1091329511e-10,2.58482125e-12,0.0,0.0,0.0,3.7132408258e-10,5.782596624e-11,3.1349811636e-10,0.0
78.94094995021604,5.782596624e-11,0.0,0.0,3.1091329511e-10,2.58482125e-12,0.0,0.0,0.0,3.7132408258e-10,5.782596624e-11,3.1349811636e-10,0.0
78.95745788621566,5.782596624e-11,0.0,0.0,3.1091329511e-10,2.58482125e-12,0.0,0.0,0.0,3.7132408258e-10,5.782596624e-11,3.1349811636e-10,0.0
78.97396582221529,5.782596624e-11,0.0,0.0,3.1091329511e-10,2.58482125e-12,0.0,0.0,0.0,3.7132408258e-10,5.782596624e-11,3.1349811636e-10,0.0
