Time (s),Time Step (s),Dose Rate (rad/s),Dose (rad),Total Dose (rad),A,B,Z
3720000.0,20000.0,0.0023,46.0,8602.0,0.0,1.0,1.0
3740000.0,20000.0,0.0023,46.0,8648.0,0.0,1.0,1.0
3760000.0,20000.0,0.0023,46.0,8694.0,0.0,1.0,1.0
3780000.0,20000.0,0.0023,46.0,8740.0,0.0,1.0,1.0
3800000.0,20000.0,0.0023,46.0,8786.0,0.0,1.0,1.0
3820000.0,20000.0,0.0023,46.0,8832.0,0.0,1.0,1.0
3840000.0,20000.0,0.0023,46.0,8878.0,0.0,1.0,1.0
3860000.0,20000.0,0.0023,46.0,8924.0,0.0,0.9999999999999999,1.0
3880000.0,20000.0,0.0023,46.0,8970.0,0.0,1.0,1.0
3900000.0,20000.0,0.0023,46.0,9016.0,0.0,1.0,1.0
3920000.0,20000.0,0.0023,46.0,9062.0,0.0,1.0,1.0
3940000.0,20000.0,0.0023,46.0,9108.0,0.0,0.9999999999999999,1.0
3960000.0,20000.0,0.0023,46.0,9154.0,0.0,1.0,1.0
3980000.0,20000.0,0.0023,46.0,9200.0,0.0,1.0,1.0
4000000.0,20000.0,0.0023,46.0,9246.0,0.0,0.9999999999999999,1.0
4020000.0,20000.0,0.0023,46.0,9292.0,0.0,1.0,1.0
4040000.0,20000.0,0.0023,46.0,9338.0,0.0,1.0000000000000002,1.0
4060000.0,20000.0,0.0023,46.0,9384.0,0.0,0.9999999999999999,1.0
4080000.0,20000.0,0.0023,46.0,9430.0,0.0,1.0,1.0
4100000.0,20000.0,0.0023,46.0,9476.0,0.0,1.0,1.0
4120000.0,20000.0,0.0023,46.0,9522.0,0.0,1.0,1.0
4140000.0,20000.0,0.0023,46.0,9568.0,1.7365264815118164e-16,0.9999999999999998,1.0
4160000.0,20000.0,0.0023,46.0,9614.0,1.726966752871709e-16,0.9999999999999996,1.0
4180000.0,20000.0,0.0023,46.0,9660.0,3.4349981869658006e-16,0.9999999999999998,1.0
4200000.0,20000.0,0.0023,46.0,9706.0,3.4162443760531506e-16,0.9999999999999996,1.0
4220000.0,20000.0,0.0023,46.0,9752.0,5.09650423835601e-16,0.9999999999999993,1.0
4240000.0,20000.0,0.0023,46.0,9798.0,8.448177508608914e-16,0.9999999999999991,1.0
4260000.0,20000.0,0.0023,46.0,9844.0,1.176366248801564e-15,0.9999999999999987,1.0
4280000.0,20000.0,0.0023,46.0,9890.0,1.838646325594877e-15,0.9999999999999976,1.0
4300000.0,20000.0,0.0023,46.0,9936.0,2.4938319697994686e-15,0.9999999999999967,1.0
4320000.0,20000.0,0.0023,46.0,9982.0,3.638131197952258e-15,0.9999999999999953,1.0
4340000.0,20000.0,0.0023,46.0,10028.0,5.263742606964217e-15,0.999999999999993,1.0
4360000.0,20000.0,0.0023,46.0,10074.0,7.690253796108584e-15,0.9999999999999897,1.0
4380000.0,20000.0,0.0023,46.0,10120.0,1.0904979161689272e-14,0.9999999999999853,1.0
4400000.0,20000.0,0.0023,46.0,10166.0,1.5381187121841262e-14,0.9999999999999793,1.0
4420000.0,20000.0,0.0023,46.0,10212.0,2.190434545852521e-14,0.9999999999999706,1.0
4440000.0,20000.0,0.0023,46.0,10258.0,3.09230718621712e-14,0.9999999999999584,1.0
4460000.0,20000.0,0.0023,46.0,10304.0,4.351416598873662e-14,0.9999999999999414,1.0
4480000.0,20000.0,0.0023,46.0,10350.0,6.089064946955683e-14,0.9999999999999178,1.0
4500000.0,20000.0,0.0023,46.0,10396.0,8.51869555582419e-14,0.9999999999998849,1.0
4520000.0,20000.0,0.0023,46.0,10442.0,1.1865050828929639e-13,0.9999999999998394,1.0
4540000.0,20000.0,0.0023,46.0,10488.0,1.6457555431267124e-13,0.999999999999777,1.0
4560000.0,20000.0,0.0023,46.0,10534.0,2.275870843273928e-13,0.9999999999996911,1.0
4580000.0,20000.0,0.0023,46.0,10580.0,3.1376145240624543e-13,0.9999999999995736,1.0
4600000.0,20000.0,0.0023,46.0,10626.0,4.31204551678977e-13,0.9999999999994131,1.0
4620000.0,20000.0,0.0023,46.0,10672.0,5.906123926954784e-13,0.9999999999991951,1.0
4640000.0,20000.0,0.0023,46.0,10718.0,8.065758277074042e-13,0.9999999999988993,1.0
4660000.0,20000.0,0.0023,46.0,10764.0,1.097785554720116e-12,0.9999999999985,1.0
4680000.0,20000.0,0.0023,46.0,10810.0,1.4896422547201133e-12,0.9999999999979617,1.0
4700000.0,20000.0,0.0023,46.0,10856.0,2.0149889189553384e-12,0.9999999999972394,1.0
4720000.0,20000.0,0.0023,46.0,10902.0,2.7175071203799723e-12,0.9999999999962716,1.0
4740000.0,20000.0,0.0023,46.0,10948.0,3.653972719036954e-12,0.9999999999949801,1.0
4760000.0,20000.0,0.0023,46.0,10994.0,4.8985130012793835e-12,0.9999999999932614,1.0
4780000.0,20000.0,0.0023,46.0,11040.0,6.547620039790149e-12,0.9999999999909808,1.0
4800000.0,20000.0,0.0023,46.0,11086.0,8.726479267301803e-12,0.9999999999879633,1.0
4820000.0,20000.0,0.0023,46.0,11132.0,1.1597004790015071e-11,0.9999999999839824,1.0
4840000.0,20000.0,0.0023,46.0,11178.0,1.536795758116563e-11,0.9999999999787453,1.0
4860000.0,20000.0,0.0023,46.0,11224.0,2.0307796337696436e-11,0.9999999999718759,1.0
4880000.0,20000.0,0.0023,46.0,11270.0,2.6760741910309674e-11,0.9999999999628897,1.0
4900000.0,20000.0,0.0023,46.0,11316.0,3.5167231547969303e-11,0.9999999999511666,1.0
4920000.0,20000.0,0.0023,46.0,11362.0,4.6088614252164324e-11,0.9999999999359153,1.0
4940000.0,20000.0,0.0023,46.0,11408.0,6.02389146954041e-11,0.9999999999161274,1.0
4960000.0,20000.0,0.0023,46.0,11454.0,7.852370968320943e-11,0.9999999998905224,1.0
4980000.0,20000.0,0.0023,46.0,11500.0,1.0208854085832406e-10,0.9999999998574775,1.0
5000000.0,20000.0,0.0023,46.0,11546.0,1.3237877637554458e-10,0.9999999998149424,1.0
5020000.0,20000.0,0.0023,46.0,11592.0,1.7121262199738032e-10,0.9999999997603338,1.0
5040000.0,20000.0,0.0023,46.0,11638.0,2.2087264768627194e-10,0.9999999996904047,1.0
5060000.0,20000.0,0.0023,46.0,11684.0,2.8421549152579647e-10,0.9999999996010832,1.0
5080000.0,20000.0,0.0023,46.0,11730.0,3.648084482484325e-10,0.9999999994872787,1.0
5100000.0,20000.0,0.0023,46.0,11776.0,4.670942377258322e-10,0.9999999993426403,1.0
5120000.0,20000.0,0.0023,46.0,11822.0,5.965925213593156e-10,0.9999999991592666,1.0
5140000.0,20000.0,0.0023,46.0,11868.0,7.601437138196034e-10,0.99999999892735,1.0
5160000.0,20000.0,0.0023,46.0,11914.0,9.662040568712393e-10,0.999999998634747,1.0
5180000.0,20000.0,0.0023,46.0,11960.0,1.2252031291771662e-09,0.9999999982664579,1.0
5200000.0,20000.0,0.0023,46.0,12006.0,1.5499721528934394e-09,0.9999999978040012,1.0
5220000.0,20000.0,0.0023,46.0,12052.0,1.956260159071925e-09,0.9999999972246564,1.0
5240000.0,20000.0,0.0023,46.0,12098.0,2.4633520687110405e-09,0.9999999965005597,1.0
5260000.0,20000.0,0.0023,46.0,12144.0,3.094807611045357e-09,0.9999999955976181,1.0
5280000.0,20000.0,0.0023,46.0,12190.0,3.879342180430991e-09,0.9999999944742135,1.0
5300000.0,20000.0,0.0023,46.0,12236.0,4.851875294873093e-09,0.9999999930796574,1.0
5320000.0,20000.0,0.0023,46.0,12282.0,6.054775137415757e-09,0.9999999913523532,1.0
5340000.0,20000.0,0.0023,46.0,12328.0,7.539331522711303e-09,0.9999999892176178,1.0
5360000.0,20000.0,0.0023,46.0,12374.0,9.367497186066209e-09,0.999999986585101,1.0
