Time (hr),dose,SRAM_SEL,MCU_SEFI,MCU_SEL,LREG_SEGR,SRAM_TID,MCU_TID,LREG_TID,WDOG_TID
1.46639,8.538296286047705e-06,1.5316943780245653e-05,1.5347080957096816e-07,1.587186033589421e-05,1.6273911919904034e-08,0.0,0.0,0.0,0.0
1.48333,6.906139713552213e-06,1.2834026612466978e-05,1.290648882634146e-07,1.3300395008236364e-05,1.3939643092260875e-08,0.0,0.0,0.0,0.0
1.5,5.6044404127690734e-06,1.0787665912474209e-05,1.0887979856400818e-07,1.118087278732411e-05,1.1977248495001884e-08,0.0,0.0,0.0,0.0
1.51639,4.564551703255446e-06,9.098402162849927e-06,9.215943722538131e-08,9.431062402502241e-06,1.0324891237748126e-08,0.0,0.0,0.0,0.0
1.53333,3.7293078623345966e-06,7.696506593236702e-06,7.823595508752898e-08,7.978792710311838e-06,8.926265211065237e-09,0.0,0.0,0.0,0.0
1.54972,3.0597706192629226e-06,6.535629177546062e-06,6.666728727860606e-08,6.776095524622152e-06,7.745123098034836e-09,0.0,0.0,0.0,0.0
1.56667,2.5217250049118005e-06,5.57226337949776e-06,5.703501914747049e-08,5.777937009185392e-06,6.745688898054709e-09,0.0,0.0,0.0,0.0
1.58306,2.086640584661946e-06,4.768095053792532e-06,4.8968259471727715e-08,4.944651952340228e-06,5.895216523214975e-09,0.0,0.0,0.0,0.0
1.6,1.7352993781414039e-06,4.098035283175256e-06,4.2225255184707314e-08,4.25027009747777e-06,5.173010124906846e-09,0.0,0.0,0.0,0.0
1.61639,1.4517217600410476e-06,3.5403474211239783e-06,3.659557913040293e-08,3.6722888259212898e-06,4.560652581132196e-09,0.0,0.0,0.0,0.0
1.63333,1.2202551951000106e-06,3.0712566373772315e-06,3.184587580725735e-08,3.1860868732692265e-06,4.0361325722051745e-09,0.0,0.0,0.0,0.0
1.65,1.032206552179556e-06,2.6788105825472038e-06,2.7860504018937117e-08,2.7792912187320016e-06,3.5894702528305526e-09,0.0,0.0,0.0,0.0
1.66639,8.736743388056962e-07,2.3382544942004576e-06,2.439207402069643e-08,2.4262534773075743e-06,3.195044391841684e-09,0.0,0.0,0.0,0.0
1.73306,4.838599988418335e-07,1.4472249706098595e-06,1.5260785659950614e-08,1.5024022460512075e-06,2.123435171160687e-09,0.0,0.0,0.0,0.0
1.8,2.972839434646164e-07,9.77311013836814e-07,1.0399058041630246e-08,1.0150536750018525e-06,1.5249893437921176e-09,0.0,0.0,0.0,0.0
1.86667,2.0348229043172302e-07,7.219426620331495e-07,7.736990557915559e-09,7.501756898881405e-07,1.1853641579255738e-09,0.0,0.0,0.0,0.0
1.93333,1.5337830784852363e-07,5.776869176681445e-07,6.2250251637678705e-09,6.005563436917614e-07,9.884882192033261e-10,0.0,0.0,0.0,0.0
1.99972,1.257182816157742e-07,4.954626002922546e-07,5.360472489265178e-09,5.153100758627497e-07,8.760544297745065e-10,0.0,0.0,0.0,0.0
2.06639,1.1070425624156311e-07,4.5088924189673804e-07,4.89170892429681e-09,4.691581529985194e-07,8.177982398622733e-10,0.0,0.0,0.0,0.0
2.13333,1.0364140070180273e-07,4.3161068080006737e-07,4.690446816664947e-09,4.4929103937868136e-07,7.979292624388297e-10,0.0,0.0,0.0,0.0
2.2,1.022087233767505e-07,4.3123758771646194e-07,4.6899820501059836e-09,4.4908858232621843e-07,8.081514392293017e-10,0.0,0.0,0.0,0.0
2.26639,1.0524847123600121e-07,4.4641442716598146e-07,4.85501749507195e-09,4.650778838102652e-07,8.44027029008076e-10,0.0,0.0,0.0,0.0
2.33306,1.123986349988825e-07,4.7617144555461855e-07,5.175274572397473e-09,4.962694171245814e-07,9.047360131485093e-10,0.0,0.0,0.0,0.0
2.4,1.236105170181679e-07,5.202135994180962e-07,5.647276957129828e-09,5.42368989636956e-07,9.899427823635687e-10,0.0,0.0,0.0,0.0
