Time (hr),MJD (days),Altitude (km),Latitude (deg),Longitude (deg),LocalTime (hrs),Alpha (deg),L-shell,Orbit
6.4,26670.26666667,34533.81,0.0008506668,346.163836,5.477589,90.0,6.6054,0
6.46639,26670.26944444,34385.4,0.0008700298,345.744181,5.516279,90.0,6.5837,0
6.53306,26670.27222222,34227.43,0.0008896097,345.328926,5.555262,90.0,6.5604,0
6.6,26670.275,34059.83,0.0009094097,344.918399,5.59456,90.0,6.5356,0
6.66667,26670.27777778,33882.55,0.0009294332,344.512945,5.634196,90.0,6.5092,0
6.73333,26670.28055556,33695.51,0.000949684,344.11292,5.674195,90.0,6.4812,0
6.79972,26670.28333333,33498.65,0.0009701659,343.718697,5.71458,90.0,6.4515,0
6.86639,26670.28611111,33291.9,0.0009908828,343.330665,5.755378,90.0,6.4203,0
6.93333,26670.28888889,33075.17,0.001011839,342.94923,5.796615,90.0,6.3874,0
7.0,26670.29166667,32848.38,0.001033039,342.574819,5.838321,90.0,6.3528,0
7.06639,26670.29444444,32611.44,0.001054488,342.207881,5.880525,90.0,6.3165,0
7.13306,26670.29722222,32364.25,0.001076191,341.848887,5.923259,90.0,6.2785,0
7.2,26670.3,32106.72,0.001098152,341.498335,5.966556,90.0,6.2389,0
7.26667,26670.30277778,31838.75,0.001120377,341.15675,6.01045,90.0,6.1974,0
7.33333,26670.30555556,31560.21,0.001142873,340.824688,6.054979,90.0,6.1543,0
7.39972,26670.30833333,31270.99,0.001165644,340.50274,6.100183,90.0,6.1093,0
7.46639,26670.31111111,30970.97,0.001188697,340.191531,6.146102,90.0,6.0625,0
7.53333,26670.31388889,30660.02,0.00121204,339.891729,6.192782,90.0,6.0139,0
7.6,26670.31666667,30338.0,0.001235678,339.604043,6.24027,90.0,5.9634,0
7.66639,26670.31944444,30004.77,0.001259619,339.329235,6.288616,90.0,5.911,0
7.73306,26670.32222222,29660.17,0.00128387,339.068118,6.337875,90.0,5.8568,0
7.8,26670.325,29304.05,0.00130844,338.821562,6.388104,90.0,5.8005,0
7.86667,26670.32777778,28936.23,0.001333335,338.590508,6.439367,90.0,5.7424,0
7.93333,26670.33055556,28556.55,0.001358565,338.375963,6.491731,90.0,5.6822,0
