Time (hr),SRAM_TID,MCU_TID,LREG_TID,WDOG_TID,SRAM_SEL,MCU_SEFI,LREG_SEGR,MCU_SEL
60.78028,0.0,0.0,3.258439326769835e-05,0.0,4.7626817600843196e-07,4.582175083811535e-09,2.8571700561030866e-11,4.7626810384393536e-07
60.84722,0.0,0.0,3.258450511656186e-05,0.0,4.6357829730503397e-07,4.4627362916216384e-09,2.8285818132189888e-11,4.635782258066712e-07
60.91389,0.0,0.0,3.258461165533966e-05,0.0,4.444590180341379e-07,4.2818065759675505e-09,2.7691737791712967e-11,4.4445894809008735e-07
60.98028,0.0,0.0,3.2584712230276924e-05,0.0,4.2286218948639487e-07,4.077318704887034e-09,2.7015611969716247e-11,4.2286212131870116e-07
61.04694,0.0,0.0,3.258480707635236e-05,0.0,4.0243384535898485e-07,3.884343735549578e-09,2.648126162796416e-11,4.024337787456034e-07
61.11389,0.0,0.0,3.2584895694687255e-05,0.0,3.79977029174583e-07,3.6719469687085393e-09,2.5870305897512935e-11,3.7997696433755834e-07
61.18056,0.0,0.0,3.2584976936311794e-05,0.0,3.525461148567999e-07,3.41150363514231e-09,2.495825768278337e-11,3.525460525732882e-07
61.24722,0.0,0.0,3.258505096392916e-05,0.0,3.2557548934608604e-07,3.155330219328789e-09,2.4081181493329495e-11,3.255754297271096e-07
61.31361,0.0,0.0,3.258511742698644e-05,0.0,2.9670000001313923e-07,2.8803919249753562e-09,2.3045898522866537e-11,2.966999435027873e-07
61.38028,0.0,0.0,3.25851769540364e-05,0.0,2.7012718806229685e-07,2.6273583308977777e-09,2.2144064359963522e-11,2.7012713432750246e-07
61.44722,0.0,0.0,3.258522970178701e-05,0.0,2.436637749347881e-07,2.3748356614561317e-09,2.118405451057015e-11,2.4366372430861816e-07
61.51389,0.0,0.0,3.2585275583751905e-05,0.0,2.160543349782884e-07,2.1104298308927127e-09,2.001632193326941e-11,2.1605428790483217e-07
61.58028,0.0,0.0,3.258531509281459e-05,0.0,1.8989110228684325e-07,1.8592914985404718e-09,1.8831047832179593e-11,1.898910589881453e-07
61.64694,0.0,0.0,3.2585349093505744e-05,0.0,1.6697659044329072e-07,1.6390604429261657e-09,1.7793988504877234e-11,1.6697655047526183e-07
61.71389,0.0,0.0,3.258537810840734e-05,0.0,1.4574415085899517e-07,1.434454666160434e-09,1.6752488285476375e-11,1.4574411422163536e-07
61.78056,0.0,0.0,3.258540249878594e-05,0.0,1.2539375393583185e-07,1.2375750424453713e-09,1.5587531265737198e-11,1.2539372085118572e-07
61.84722,0.0,0.0,3.258542296663558e-05,0.0,1.077531976978463e-07,1.0665054395175844e-09,1.4517054225393622e-11,1.0775316783284694e-07
61.91361,0.0,0.0,3.258544001188968e-05,0.0,9.190131267100554e-08,9.122501642977454e-10,1.3433365531057007e-11,9.190128602565295e-08
61.98028,0.0,0.0,3.258545430984139e-05,0.0,7.892476505677593e-08,7.857181572035188e-10,1.2512546554432902e-11,7.892474107595859e-08
62.04722,0.0,0.0,3.2585466319623446e-05,0.0,6.782083450396215e-08,6.77111589020285e-10,1.1641687613916929e-11,6.782081296563547e-08
62.11389,0.0,0.0,3.2585476372748445e-05,0.0,5.8002452840710816e-08,5.80692272045269e-10,1.0743850253902565e-11,5.800243374487479e-08
62.18028,0.0,0.0,3.258548485901569e-05,0.0,4.9925347855861446e-08,5.011326908999081e-10,9.925171795543974e-12,4.992533075842687e-08
62.24694,0.0,0.0,3.25854921772728e-05,0.0,4.3781027692091357e-08,4.404989706330298e-10,9.26869692108312e-12,4.378101214896901e-08
62.31389,0.0,0.0,3.2585498605464114e-05,0.0,3.896518319113085e-08,3.9284475672474173e-10,8.693601394327288e-12,3.896516886925383e-08
