Run,Full,Minimal
1033,['B'],['B']
1034,['A'],['A']
1035,['B'],['B']
1036,['A'],['A']
1037,['A'],['A']
1038,['B'],['B']
1039,['B'],['B']
1040,['B'],['B']
1041,['A'],['A']
1042,['B'],['B']
1043,['B'],['B']
1044,['A'],['A']
1045,['A'],['A']
1046,['B'],['B']
1047,['A'],['A']
1048,['A'],['A']
1049,['A'],['A']
1050,['A'],['A']
1051,['B'],['B']
1052,['B'],['B']
1053,['B'],['B']
1054,['A'],['A']
1055,['B'],['B']
1056,['B'],['B']
1057,['A'],['A']
1058,['A'],['A']
1059,['B'],['B']
1060,['A'],['A']
1061,['B'],['B']
1062,['A'],['A']
1063,['B'],['B']
1064,['B'],['B']
1065,['B'],['B']
1066,['A'],['A']
1067,['B'],['B']
1068,['B'],['B']
1069,['A'],['A']
1070,['A'],['A']
1071,['B'],['B']
1072,['B'],['B']
1073,['A'],['A']
1074,['A'],['A']
1075,['A'],['A']
1076,['B'],['B']
1077,['A'],['A']
1078,['A'],['A']
1079,['A'],['A']
1080,['A'],['A']
1081,['B'],['B']
1082,['B'],['B']
1083,['A'],['A']
1084,['B'],['B']
1085,['B'],['B']
1086,['B'],['B']
1087,['B'],['B']
1088,['A'],['A']
1089,['B'],['B']
1090,['B'],['B']
1091,['B'],['B']
1092,['A'],['A']
1093,['A'],['A']
1094,['B'],['B']
1095,['A'],['A']
1096,['B'],['B']
1097,['A'],['A']
1098,['B'],['B']
1099,['B'],['B']
1100,['A'],['A']
1101,['A'],['A']
1102,['A'],['A']
1103,['B'],['B']
1104,['A'],['A']
1105,['A'],['A']
1106,['B'],['B']
1107,['B'],['B']
1108,['A'],['A']
1109,['A'],['A']
1110,['B'],['B']
1111,['A'],['A']
1112,['B'],['B']
1113,['B'],['B']
1114,['A'],['A']
1115,['B'],['B']
1116,['B'],['B']
1117,['A'],['A']
1118,['A'],['A']
1119,['B'],['B']
1120,['A'],['A']
1121,['A'],['A']
1122,['B'],['B']
1123,['A'],['A']
1124,['A'],['A']
1125,['B'],['B']
1126,['A'],['A']
1127,['B'],['B']
1128,['A'],['A']
1129,['B'],['B']
1130,['B'],['B']
1131,['B'],['B']
1132,['B'],['B']
1133,['A'],['A']
1134,['A'],['A']
1135,['A'],['A']
1136,['B'],['B']
1137,['A'],['A']
1138,['A'],['A']
1139,['B'],['B']
1140,['B'],['B']
1141,['A'],['A']
1142,['A'],['A']
1143,['A'],['A']
1144,['A'],['A']
1145,['A'],['A']
1146,['B'],['B']
1147,['B'],['B']
1148,['B'],['B']
1149,['A'],['A']
1150,['B'],['B']
1151,['B'],['B']
1152,['A'],['A']
1153,['B'],['B']
1154,['A'],['A']
1155,['B'],['B']
1156,['B'],['B']
1157,['B'],['B']
1158,['B'],['B']
1159,['B'],['B']
1160,['A'],['A']
1161,['A'],['A']
1162,['A'],['A']
1163,['A'],['A']
1164,['A'],['A']
1165,['A'],['A']
1166,['B'],['B']
1167,['B'],['B']
1168,['A'],['A']
1169,['B'],['B']
1170,['A'],['A']
1171,['B'],['B']
1172,['A'],['A']
1173,['B'],['B']
1174,['B'],['B']
1175,['B'],['B']
1176,['B'],['B']
1177,['A'],['A']
1178,['A'],['A']
1179,['B'],['B']
1180,['A'],['A']
1181,['B'],['B']
1182,['B'],['B']
1183,['B'],['B']
1184,['B'],['B']
1185,['A'],['A']
1186,['A'],['A']
1187,['A'],['A']
1188,['B'],['B']
1189,['A'],['A']
1190,['B'],['B']
1191,['B'],['B']
1192,['A'],['A']
1193,['A'],['A']
1194,['B'],['B']
1195,['A'],['A']
1196,['A'],['A']
1197,['A'],['A']
1198,['B'],['B']
1199,['A'],['A']
1200,['B'],['B']
1201,['A'],['A']
1202,['A'],['A']
1203,['B'],['B']
1204,['B'],['B']
1205,['B'],['B']
1206,['A'],['A']
1207,['A'],['A']
1208,['A'],['A']
1209,['A'],['A']
1210,['A'],['A']
1211,['A'],['A']
1212,['A'],['A']
1213,['A'],['A']
1214,['A'],['A']
1215,['B'],['B']
1216,['A'],['A']
1217,['B'],['B']
1218,['A'],['A']
1219,['A'],['A']
1220,['A'],['A']
1221,['B'],['B']
1222,['A'],['A']
1223,['B'],['B']
1224,['A'],['A']
1225,['B'],['B']
1226,['A'],['A']
1227,['A'],['A']
1228,['B'],['B']
1229,['A'],['A']
1230,['A'],['A']
1231,['B'],['B']
1232,['A'],['A']
1233,['B'],['B']
1234,['B'],['B']
1235,['A'],['A']
1236,['B'],['B']
1237,['B'],['B']
1238,['B'],['B']
1239,['A'],['A']
1240,['A'],['A']
1241,['A'],['A']
1242,['B'],['B']
1243,['A'],['A']
1244,['B'],['B']
1245,['A'],['A']
1246,['B'],['B']
1247,['B'],['B']
1248,['B'],['B']
1249,['B'],['B']
1250,['B'],['B']
1251,['A'],['A']
1252,['A'],['A']
1253,['B'],['B']
1254,['A'],['A']
1255,['A'],['A']
1256,['B'],['B']
1257,['A'],['A']
1258,['A'],['A']
1259,['B'],['B']
1260,['A'],['A']
1261,['A'],['A']
1262,['B'],['B']
1263,['A'],['A']
1264,['A'],['A']
1265,['A'],['A']
1266,['A'],['A']
1267,['B'],['B']
1268,['A'],['A']
1269,['B'],['B']
1270,['B'],['B']
1271,['A'],['A']
1272,['B'],['B']
1273,['A'],['A']
1274,['B'],['B']
1275,['B'],['B']
1276,['A'],['A']
1277,['A'],['A']
1278,['A'],['A']
1279,['B'],['B']
1280,['A'],['A']
1281,['B'],['B']
1282,['A'],['A']
1283,['A'],['A']
1284,['B'],['B']
1285,['A'],['A']
1286,['A'],['A']
1287,['A'],['A']
1288,['A'],['A']
1289,['A'],['A']
1290,['A'],['A']
1291,['B'],['B']
1292,['A'],['A']
1293,['B'],['B']
1294,['B'],['B']
1295,['A'],['A']
1296,['A'],['A']
1297,['B'],['B']
1298,['A'],['A']
1299,['A'],['A']
1300,['A'],['A']
1301,['A'],['A']
1302,['B'],['B']
1303,['B'],['B']
1304,['B'],['B']
1305,['A'],['A']
1306,['B'],['B']
1307,['A'],['A']
1308,['A'],['A']
1309,['B'],['B']
1310,['A'],['A']
1311,['A'],['A']
1312,['B'],['B']
1313,['A'],['A']
1314,['A'],['A']
1315,['A'],['A']
1316,['B'],['B']
1317,['B'],['B']
1318,['B'],['B']
1319,['B'],['B']
1320,['A'],['A']
1321,['B'],['B']
1322,['A'],['A']
1323,['A'],['A']
1324,['A'],['A']
1325,['B'],['B']
1326,['B'],['B']
1327,['A'],['A']
1328,['A'],['A']
1329,['A'],['A']
1330,['A'],['A']
1331,['B'],['B']
1332,['A'],['A']
1333,['B'],['B']
1334,['B'],['B']
1335,['A'],['A']
1336,['A'],['A']
1337,['B'],['B']
1338,['B'],['B']
1339,['A'],['A']
1340,['B'],['B']
1341,['A'],['A']
1342,['B'],['B']
1343,['A'],['A']
1344,['B'],['B']
1345,['A'],['A']
1346,['A'],['A']
1347,['A'],['A']
1348,['B'],['B']
1349,['A'],['A']
1350,['A'],['A']
1351,['A'],['A']
1352,['B'],['B']
1353,['A'],['A']
1354,['A'],['A']
1355,['A'],['A']
1356,['A'],['A']
1357,['A'],['A']
1358,['A'],['A']
