Run,A,B,Z
1920,10295245.554778688,20039720.532347266,10295245.554778688
1921,9557054.58313416,27324728.527552888,9557054.58313416
1922,10400754.463391954,13202315.829036107,10400754.463391954
1923,8874750.110265413,6759533.998497452,6759533.998497452
1924,9005303.876692,24851365.82426001,9005303.876692
1925,10400572.639055863,5517917.197999331,5517917.197999331
1926,10534518.04278558,6582667.978276937,6582667.978276937
1927,9636847.096932998,12655630.044652661,9636847.096932998
1928,10712805.750977004,25441331.07192587,10712805.750977004
1929,9508962.930988854,18727856.41638948,9508962.930988854
1930,9914227.681877743,18439678.4297768,9914227.681877743
1931,10014002.616934162,11762591.369851949,10014002.616934162
1932,8896618.449426437,20375532.14127118,8896618.449426437
1933,9600044.630477445,17733795.02790648,9600044.630477445
1934,8787925.734424103,21667453.111912668,8787925.734424103
1935,9248155.433311325,9173776.111121014,9173776.111121014
1936,10036623.476140166,4777291.9208204355,4777291.9208204355
1937,10529311.300571185,3216986.025544931,3216986.025544931
1938,10871210.542049555,10337330.476558343,10337330.476558343
1939,9660562.434593678,679725.2297695401,679725.2297695401
1940,8801074.03860067,7273015.672277836,7273015.672277836
1941,10739079.43782004,11650908.987863094,10739079.43782004
1942,9129048.514377117,29493125.70839013,9129048.514377117
1943,9483879.161816075,16790516.438855976,9483879.161816075
1944,10144787.668933207,1135078.564893973,1135078.564893973
1945,9977780.85462378,29377309.180907227,9977780.85462378
1946,10767553.759187907,10322155.91316123,10322155.91316123
1947,9744427.90707173,15819226.37225039,9744427.90707173
1948,10760254.94275464,4763715.023199639,4763715.023199639
1949,10383355.955424497,1752016.160296362,1752016.160296362
1950,10589017.952025747,15141163.727448216,10589017.952025747
1951,10054538.110105779,34613735.3923832,10054538.110105779
1952,11048268.737746755,17202452.456234846,11048268.737746755
1953,10785835.99190324,10089246.825946363,10089246.825946363
1954,9235448.26634592,4103725.2017838503,4103725.2017838503
1955,10365727.193717897,263887.4301647333,263887.4301647333
1956,8285817.529857596,2942439.268263453,2942439.268263453
1957,9479609.175911848,14003778.765721405,9479609.175911848
1958,10416750.963122047,1077689.680314345,1077689.680314345
1959,8584882.875161156,19786868.43587689,8584882.875161156
1960,8897293.857293895,5274278.626559321,5274278.626559321
1961,9277622.203098424,10095930.692402232,9277622.203098424
1962,9259418.622450693,7955893.338376453,7955893.338376453
1963,11597015.446237989,13233095.361709816,11597015.446237989
1964,12321680.314906696,5442175.66639757,5442175.66639757
1965,9519041.429519745,20371264.565871075,9519041.429519745
1966,8120595.236538861,11319655.980281925,8120595.236538861
1967,8907754.06036532,5975173.409018274,5975173.409018274
1968,7762098.231079602,14291360.490487928,7762098.231079602
1969,10601893.703187674,16552654.496631645,10601893.703187674
1970,9012905.953382574,13383387.771348571,9012905.953382574
1971,9158530.669929737,7987502.988623717,7987502.988623717
1972,10614567.493465738,31693425.900018163,10614567.493465738
1973,10951350.9066789,1792476.7501353815,1792476.7501353815
1974,7988351.149264211,20175958.14886813,7988351.149264211
1975,10093660.959401233,8554229.293979397,8554229.293979397
1976,9621959.164016798,33109672.47264419,9621959.164016798
1977,9061335.87126274,24866263.7754754,9061335.87126274
1978,9425445.111707719,5633966.805154066,5633966.805154066
1979,9786437.747436898,24156753.929485634,9786437.747436898
1980,9899365.50656005,7903456.650581552,7903456.650581552
1981,12537924.409735445,3598348.742850609,3598348.742850609
1982,9916413.563658424,1797344.8577297244,1797344.8577297244
1983,10662705.284236496,9730646.728247825,9730646.728247825
1984,10916968.689535106,27716524.099040437,10916968.689535106
1985,10357408.387851506,23752400.527821504,10357408.387851506
1986,12532744.821149426,10006453.228615398,10006453.228615398
1987,9458637.111117246,2188266.6930594975,2188266.6930594975
1988,9354247.571477314,33470102.01992894,9354247.571477314
1989,9547564.192183714,1962378.1154948436,1962378.1154948436
1990,9923762.032129956,24111627.26889229,9923762.032129956
1991,9962276.044359926,34362974.16343424,9962276.044359926
1992,9807140.33503353,31995374.04926064,9807140.33503353
1993,9326563.389267657,27530688.116868615,9326563.389267657
1994,11719129.718688197,11445899.026684344,11445899.026684344
1995,8897107.17719124,1226377.253408864,1226377.253408864
1996,8616319.80038043,12640820.24895218,8616319.80038043
1997,9577850.227105558,12133115.734345268,9577850.227105558
1998,10686706.62543425,26775350.3546672,10686706.62543425
1999,10029715.601893501,12339977.549545897,10029715.601893501
2000,8725728.074538792,10486493.36414808,8725728.074538792
2001,11257143.36613327,26978587.852230083,11257143.36613327
2002,9830690.58247252,8200510.949401565,8200510.949401565
2003,7932637.188057281,28857956.171573244,7932637.188057281
2004,11254926.041168414,10473406.768399382,10473406.768399382
2005,9595896.659666076,28019953.336754836,9595896.659666076
2006,8455089.341798991,10414645.638982758,8455089.341798991
2007,9730236.117249899,12693472.68679583,9730236.117249899
2008,8992439.317462338,27181418.820260786,8992439.317462338
2009,10151763.422499923,9659657.609431356,9659657.609431356
2010,10995646.837022496,4389866.91868965,4389866.91868965
2011,10740747.970592525,6828253.460012368,6828253.460012368
2012,9458185.783480152,9023263.321487768,9023263.321487768
2013,10877495.004139952,10196496.97038105,10196496.97038105
2014,9346865.614519596,19483597.216776244,9346865.614519596
2015,10909623.509978794,264012.1067215637,264012.1067215637
2016,9473255.225739777,21071314.749210224,9473255.225739777
2017,9236400.29948532,2310724.8862254126,2310724.8862254126
2018,7262005.366248647,415128.9296343981,415128.9296343981
2019,11860619.644445129,922415.2721354589,922415.2721354589
2020,7989260.77532754,26089956.824490365,7989260.77532754
2021,9915793.291597323,9483468.7558998,9483468.7558998
2022,8546801.537912667,10211969.565954873,8546801.537912667
2023,10082979.565734714,10159557.996726904,10082979.565734714
2024,9184517.32776756,23926268.471754525,9184517.32776756
2025,8670453.854729705,11786687.853020499,8670453.854729705
2026,9696140.331360403,10968871.738809312,9696140.331360403
2027,10431872.344233742,20735536.540236235,10431872.344233742
2028,8020000.819009698,13060137.724403597,8020000.819009698
2029,8880811.014311861,19993743.260451965,8880811.014311861
2030,8976454.512891857,6685061.249569759,6685061.249569759
2031,10403332.328267884,17619182.144401975,10403332.328267884
2032,11706994.219294736,29616712.187579878,11706994.219294736
2033,10448707.042302592,14762398.476742929,10448707.042302592
2034,12042699.366344325,16793190.455410022,12042699.366344325
2035,10232268.043395834,8379339.9280901225,8379339.9280901225
2036,7822678.447540642,1595014.4976445674,1595014.4976445674
2037,8008238.367201118,12568871.48717004,8008238.367201118
