Time (s),dose,MCU_SEFI,SRAM_SEL,LREG_SEGR,MCU_SEL,DOSE (rad)
234528.0,,0.001104474751082753,0.12436970450842035,8.498573915250668e-05,0.12866575565238073,0.13730836123946205
234587.0,,0.0010207187436821422,0.11482965406987007,7.861713974867857e-05,0.11879702154696956,0.12640960410759947
234648.0,,0.00093822202590262,0.10545659200101933,7.233390974200743e-05,0.10910092897840559,0.11575688111479654
234707.0,,0.000858417667733026,0.0964060942473685,6.624932490375471e-05,0.09973843513430543,0.10551047259970661
234768.0,,0.0007820340109292722,0.08775480953188922,6.042216181569195e-05,0.09078884824461843,0.09574372582404665
234827.0,,0.0007099811457630953,0.07960118724879303,5.492415178066465e-05,0.08235402660633843,0.08655763233918512
234888.0,,0.0006427081298942836,0.07199406143163754,4.978899371654527e-05,0.07448448990364255,0.07800602850919984
234947.0,,0.0005796733741227408,0.06487189625990838,4.497322010330543e-05,0.06711657380364427,0.0700236018282412
235008.0,,0.0005218258036052418,0.058341463094014216,4.054800108759041e-05,0.060360733441391576,0.06273150662710397
235068.0,,0.00046863577875745714,0.052342322166439186,3.64722963800501e-05,0.0541544478104558,0.05606136989663355
235127.0,,0.00041990514854692686,0.04685145192233789,3.2730919710116435e-05,0.048473907758237816,0.04998548096174385
235188.0,,0.00037529496693707894,0.041829955840108714,2.929825836061636e-05,0.043278882401516436,0.044457713131622174
235247.0,,0.0003341685779992426,0.03720552777593294,2.6125913558001327e-05,0.03849457624648796,0.03939517515148781
235308.0,,0.00029741274343760173,0.0330770913066601,2.328332218511221e-05,0.03422334502208035,0.034901636528153625
235367.0,,0.00026409237219496214,0.029338746149244713,2.069949605928662e-05,0.030355639202579294,0.030856583768716524
235428.0,,0.00023406225315588351,0.025973448799494838,1.836442093202739e-05,0.026873837603071996,0.02723687697389414
235487.0,,0.0002072168334921283,0.02296859264244319,1.627124667047646e-05,0.02376490952517996,0.024024081122107764
235548.0,,0.0001830731972274092,0.020269396072858648,1.4383631155122797e-05,0.02097218747413346,0.02115506170588852
235608.0,,0.000161478261418599,0.017858085189660138,1.2690818183424268e-05,0.018477291934712183,0.018606816515622904
235667.0,,0.000142365060329941,0.01572651489052937,1.1188767946017068e-05,0.01627180533339881,0.016366724722457624
235728.0,,0.0001252394644058348,0.01381898028629344,9.83972547834314e-06,0.014298099685663904,0.014372729633668225
235787.0,,0.0001101445196170344,0.012139730360880887,8.648041400280606e-06,0.012560578837018652,0.012626178637306069
