Time (hr),LREG_SEGR,LREG_TID,MCU_SEL,MCU_SEFI,WDOG_TID,MCU_TID,SRAM_SEL,SRAM_TID,LREG,MCU,Harden MCU,Frozen MCU,WDOG,SRAM,Harden SRAM,Payload
91.39556,4.275028140012893e-07,0.9991874624360472,0.0,0.0,0.0,4.823153440547118e-10,1.997594263441505e-10,0.0,0.9999990835729229,4.823153440547118e-10,0.0,0.0,0.0,1.997594263441505e-10,1.997594263441505e-10,1.0
91.46222,4.1288674718093025e-07,0.9991874693236311,0.0,0.0,0.0,4.693982018018755e-10,1.9440983299246938e-10,0.0,0.999999076559439,4.693982018018755e-10,0.0,0.0,0.0,1.9440983299246938e-10,1.9440983299246938e-10,1.0
91.52861,3.9877061999819824e-07,0.9991874757186869,0.0,0.0,0.0,4.5680092884143095e-10,1.8919228553855508e-10,0.0,0.9999990695456055,4.5680092884143095e-10,0.0,0.0,0.0,1.8919228553855508e-10,1.8919228553855508e-10,1.0
91.59528,3.851373198050675e-07,0.9991874816307472,0.0,0.0,0.0,4.4451681142130654e-10,1.8410465318093406e-10,0.0,0.9999990625314285,4.4451681142130654e-10,0.0,0.0,0.0,1.8410465318093406e-10,1.8410465318093406e-10,1.0
91.66222,3.719703179678038e-07,0.9991874870753604,0.0,0.0,0.0,4.325385833544464e-10,1.7914358448348274e-10,0.0,0.9999990555169147,4.325385833544464e-10,0.0,0.0,0.0,1.7914358448348274e-10,1.7914358448348274e-10,1.0
91.72889,3.592536496855774e-07,0.9991874920729433,0.0,0.0,0.0,4.208600919770881e-10,1.7430683990992776e-10,0.0,0.9999990485020711,4.208600919770881e-10,0.0,0.0,0.0,1.7430683990992776e-10,1.7430683990992776e-10,1.0
91.79556,3.469719019374789e-07,0.9991874966350589,0.0,0.0,0.0,4.094750761457535e-10,1.6959162562886882e-10,0.0,0.999999041486904,4.094750761457535e-10,0.0,0.0,0.0,1.6959162562886882e-10,1.6959162562886882e-10,1.0
91.86194,3.3511018700925847e-07,0.9991875007786464,0.0,0.0,0.0,3.9837649969857936e-10,1.6499481563505255e-10,0.0,0.9999990344714199,3.9837649969857936e-10,0.0,0.0,0.0,1.6499481563505255e-10,1.6499481563505255e-10,1.0
91.92861,3.23654131143471e-07,0.9991875045109385,0.0,0.0,0.0,3.8755832844347574e-10,1.6051439558261397e-10,0.0,0.9999990274556239,3.8755832844347574e-10,0.0,0.0,0.0,1.6051439558261397e-10,1.6051439558261397e-10,1.0
91.99556,3.125898519882307e-07,0.9991875078449292,0.0,0.0,0.0,3.770149746362833e-10,1.561477966794404e-10,0.0,0.9999990204395222,3.770149746362833e-10,0.0,0.0,0.0,1.561477966794404e-10,1.561477966794404e-10,1.0
