Time (hr),LREG_SEGR,LREG_TID,MCU_SEL,MCU_SEFI,MCU_TID,SRAM_SEL,SRAM_TID,LREG,MCU,SRAM,Payload
55.09722,0.000525632743856471,0.0017304358841594622,0.560736000297551,0.006901430448124681,0.0,0.5485368456230338,0.0,0.002255159054254075,0.5637675502398625,0.5485368456230338,0.8035012597037618
55.11389,0.0005256367730633029,0.0017629428843852911,0.5607383511455899,0.006901479066853004,0.0,0.5485391803408964,0.0,0.0022876529898397512,0.56376990622003,0.5485391803408964,0.8035097365022266
55.13028,0.0005256401136158914,0.0017954516368048179,0.5607402727961452,0.006901518929225076,0.0,0.5485410887051931,0.0,0.002320147989018347,0.5637718321182889,0.5485410887051931,0.803517834094313
55.14722,0.0005256430216127033,0.0018279616823982043,0.5607419203632011,0.0069015532130686725,0.0,0.5485427247864055,0.0,0.0023526438487087792,0.5637734833740848,0.5485427247864055,0.8035256895427012
55.16361,0.0005256453907935598,0.0018604725064581946,0.5607432411913352,0.006901580786335655,0.0,0.5485440363248922,0.0,0.0023851399484540363,0.5637748071981972,0.5485440363248922,0.8035332562337939
55.18056,0.0005256474517086955,0.0018929838002882072,0.5607443707339138,0.00690160444456947,0.0,0.5485451578482002,0.0,0.0024176362098861552,0.5637759393371587,0.5485451578482002,0.8035406538605034
55.19694,0.0005256491266740307,0.001925495220961435,0.5607452725087866,0.006901623396274169,0.0,0.5485460531572769,0.0,0.0024501322127541522,0.5637768432129638,0.5485460531572769,0.8035478501328726
55.21389,0.0005256505845850122,0.0019580065658885344,0.5607460429933053,0.006901639644739848,0.0,0.5485468180600339,0.0,0.002482627923177566,0.5637776155170916,0.5485468180600339,0.8035549302982319
55.23028,0.0005256517709263871,0.001990517612708924,0.5607466580401198,0.006901652660757704,0.0,0.548547428603129,0.0,0.002515123064527131,0.563778232036404,0.548547428603129,0.8035618729877646
55.24722,0.0005256528029169153,0.002023028228946422,0.5607471825660679,0.0069016638006947914,0.0,0.5485479492452768,0.0,0.0025476176214044117,0.5637787578355049,0.5485479492452768,0.8035687355577759
55.26389,0.0005256536590533385,0.0020555382806029033,0.5607476089952825,0.006901672889725302,0.0,0.5485483724808763,0.0,0.002580111438437719,0.5637791853140268,0.5485483724808763,0.8035755112977693
55.28028,0.0005256543691751933,0.0020880476616871695,0.5607479554430348,0.006901680300765843,0.0,0.5485487163034648,0.0,0.002612604439485951,0.5637795326260248,0.5485487163034648,0.8035822162043719
55.29722,0.0005256549896967705,0.002120556305034232,0.560748251888721,0.006901686665175521,0.0,0.5485490104759827,0.0,0.0026450966137283277,0.5637798298213157,0.5485490104759827,0.8035888767615134
55.31361,0.0005256554978967604,0.0021530641381905806,0.5607484895461101,0.0069016917860500425,0.0,0.5485492462887275,0.0,0.0026775878660857764,0.5637800680878198,0.5485492462887275,0.803595485198134
55.33056,0.0005256559434164366,0.002185571118463436,0.5607486934300662,0.006901696195255625,0.0,0.5485494485704966,0.0,0.002710078203431693,0.563780272501381,0.5485494485704966,0.8036020636120297
55.34694,0.0005256563094362177,0.0022180771997308054,0.5607488573329986,0.006901699752699273,0.0,0.5485496111692806,0.0,0.0027425675628921678,0.5637804368357163,0.5485496111692806,0.8036086065143598
55.36389,0.0005256566322392048,0.0022505823552955826,0.5607489987636485,0.006901702833479501,0.0,0.5485497514603576,0.0,0.0027750559539933255,0.5637805786434901,0.5485497514603576,0.8036151293710561
55.38028,0.0005256568988284131,0.002283086555837506,0.5607491130302972,0.006901705331505616,0.0,0.5485498647945394,0.0,0.0028075433344672204,0.5637806932187646,0.5485498647945394,0.8036216280348498
55.39722,0.0005256571348418396,0.0023155897843387457,0.5607492119973286,0.006901707502775214,0.0,0.5485499629435852,0.0,0.0028400297128890807,0.5637807924564866,0.5485499629435852,0.8036281129850001
55.41389,0.000525657334397619,0.0023480920233296654,0.5607492938671448,0.006901709305274674,0.0,0.5485500441280144,0.0,0.0028725150659333807,0.5637808745530104,0.5485500441280144,0.803634582632313
55.43028,0.000525657503533632,0.002380593259018698,0.560749361764367,0.006901710805342865,0.0,0.5485501114494961,0.0,0.002904999385842865,0.5637809426405316,0.5485501114494961,0.8036410397357424
55.44722,0.0005256576546650795,0.002413093482794179,0.560749421133808,0.006901712121512988,0.0,0.5485501703089968,0.0,0.0029374826763986055,0.5637810021783503,0.5485501703089968,0.8036474891036887
55.46361,0.0005256577815409188,0.0024455926850162186,0.5607494699170649,0.006901713206648485,0.0,0.5485502186678315,0.0,0.0029699649217317793,0.5637810511015656,0.5485502186678315,0.8036539289176636
55.48056,0.0005256578958202422,0.002478090860217337,0.5607495129355169,0.006901714166719872,0.0,0.5485502613072001,0.0,0.0030024461280103464,0.5637810942448285,0.5485502613072001,0.8036603634352344
55.49694,0.0005256579923331288,0.002510588002071262,0.5607495485119054,0.00690171496328406,0.0,0.5485502965660539,0.0,0.003034926283755646,0.5637811299255701,0.5485502965660539,0.8036667911749683
55.51389,0.0005256580799695656,0.0025430841070721343,0.5607495801564196,0.006901715674062419,0.0,0.5485503279245159,0.0,0.0030674053943327757,0.5637811616638926,0.5485503279245159,0.8036732152362785
55.53028,0.000525658154679369,0.0025755791710808467,0.5607496065943806,0.006901716269724301,0.0,0.5485503541204666,0.0,0.0030998834515659143,0.563781188181031,0.5485503541204666,0.8036796344935332
55.54722,0.0005256582230155144,0.0026080731918122282,0.5607496303017391,0.006901716805470174,0.0,0.5485503776080762,0.0,0.0031323604597082405,0.5637812119600946,0.5485503776080762,0.8036860511327084
55.56389,0.0005256582828205299,0.0026405661667278863,0.5607496506525529,0.0069017172666993795,0.0,0.5485503977679074,0.0,0.00316483641407154,0.5637812323730479,0.5485503977679074,0.8036924646011335
55.58028,0.0005256583351597805,0.002673058093717952,0.5607496681199113,0.006901717663726262,0.0,0.5485504150692576,0.0,0.0031973113136104024,0.5637812498942456,0.5485504150692576,0.8036988753164167
55.64694,0.0005256584766335921,0.0027055489861272956,0.5607497121108886,0.00690171867398929,0.0,0.5485504586215073,0.0,0.0032297852680023826,0.5637812940253681,0.5485504586215073,0.8037053092329549
55.71389,0.0005256585786779202,0.0027380388348212277,0.5607497419613899,0.006901719365401169,0.0,0.5485504881602888,0.0,0.003262258139896871,0.5637813239735525,0.5485504881602888,0.8037117304587975
55.78056,0.0005256586576646067,0.00277052763512964,0.5607497639301454,0.006901719877666249,0.0,0.5485505098894189,0.0,0.0032947299409565416,0.5637813460156983,0.5485505098894189,0.803718144519134
