Time (hr),SRAM_TID,MCU_TID,LREG_TID,WDOG_TID,MCU_SEL,MCU_SEFI,LREG_SEGR,SRAM_SEL
1.8,0.0,0.0,0.0,0.0,6.794769069617956e-08,6.961129450644421e-10,1.020827866682339e-10,6.54211971262697e-08
1.86667,0.0,0.0,0.0,0.0,5.0014211994131585e-08,5.158251603631925e-10,7.902822840577528e-11,4.813191611940937e-08
1.93333,0.0,0.0,0.0,0.0,4.0033085069168806e-08,4.149601773306699e-10,6.589262468992274e-11,3.850860919030197e-08
1.99972,0.0,0.0,0.0,0.0,3.4211435351316766e-08,3.55881768498989e-10,5.8161253591038076e-11,3.289376149240297e-08
2.06639,0.0,0.0,0.0,0.0,3.1278773571230545e-08,3.26130233929689e-10,5.452260865013159e-11,3.0060785305430215e-08
2.13333,0.0,0.0,0.0,0.0,3.007554172373972e-08,3.1397850985825926e-10,5.3413384826228594e-11,2.8892018555382037e-08
2.2,0.0,0.0,0.0,0.0,2.994073533546526e-08,3.126811032316823e-10,5.3879456451966234e-11,2.8750609559757834e-08
2.26639,0.0,0.0,0.0,0.0,3.087652022948362e-08,3.2232461144587887e-10,5.6034954454275976e-11,2.9637453380360057e-08
2.33306,0.0,0.0,0.0,0.0,3.308628149234494e-08,3.45035555682216e-10,6.031874999479214e-11,3.174634977121116e-08
2.4,0.0,0.0,0.0,0.0,3.6306179507228364e-08,3.7802871943881655e-10,6.626676984922142e-11,3.482309773872316e-08
2.46667,0.0,0.0,0.0,0.0,4.027952837937221e-08,4.185798374578553e-10,7.340072993855529e-11,3.86206693292479e-08
2.53333,0.0,0.0,0.0,0.0,4.554024468639284e-08,4.721689705888821e-10,8.266398676681774e-11,4.365024597330347e-08
2.59972,0.0,0.0,0.0,0.0,5.185361673376576e-08,5.362703614508746e-10,9.358425145933325e-11,4.9685996983406255e-08
2.66639,0.0,0.0,0.0,0.0,5.998338903356881e-08,6.186767764759793e-10,1.0748035794705402e-10,5.7458906854712666e-08
2.73333,0.0,0.0,0.0,0.0,6.970757870927713e-08,7.169548288388228e-10,1.2387135761571244e-10,6.675524300003843e-08
2.8,0.0,0.0,0.0,0.0,8.054999167672605e-08,8.260921946501298e-10,1.418385409124312e-10,7.711827965106721e-08
2.86639,0.0,0.0,0.0,0.0,9.30337087368116e-08,9.51373979596326e-10,1.6224888099714008e-10,8.9048445506279e-08
2.93306,0.0,0.0,0.0,0.0,1.081698359772787e-07,1.102999136470828e-09,1.8677670521327627e-10,1.0351269719155454e-07
3.0,0.0,0.0,0.0,0.0,1.2535398874469195e-07,1.2746413924347166e-09,2.14275153176402e-10,1.1993171511459622e-07
3.06667,0.0,0.0,0.0,0.0,1.4341523502103826e-07,1.454331433059508e-09,2.427000822535774e-10,1.3718499458637012e-07
3.13333,0.0,0.0,0.0,0.0,1.637932834919198e-07,1.6566397142980804e-09,2.744673377463869e-10,1.5664968100459475e-07
3.19972,0.0,0.0,0.0,0.0,1.8507550758606328e-07,1.8672434709543495e-09,3.071874976612321e-10,1.7697466137001072e-07
3.26639,0.0,0.0,0.0,0.0,2.0933358257924084e-07,2.107034324794199e-09,3.44293593634859e-10,2.0014097235065975e-07
3.33333,0.0,0.0,0.0,0.0,2.3494552370273425e-07,2.3596324894015197e-09,3.8308489713756444e-10,2.2459760418147567e-07
3.4,0.0,0.0,0.0,0.0,2.5948953286114573e-07,2.6008132314458976e-09,4.196776259846047e-10,2.480300420604209e-07
3.46639,0.0,0.0,0.0,0.0,2.8413919639369567e-07,2.842526769519793e-09,4.5609338528151966e-10,2.715611241432825e-07
3.53306,0.0,0.0,0.0,0.0,3.110899834402048e-07,3.1068239092491012e-09,4.959154198402871e-10,2.9728959471952976e-07
3.6,0.0,0.0,0.0,0.0,3.378322981362203e-07,3.3686619049788646e-09,5.351590282032248e-10,3.22817260700603e-07
3.66667,0.0,0.0,0.0,0.0,3.6078754128698876e-07,3.5925907804212898e-09,5.683095105624147e-10,3.447257805877513e-07
3.73333,0.0,0.0,0.0,0.0,3.838106504838734e-07,3.817158145125177e-09,6.015460352060131e-10,3.6669926350985094e-07
3.79972,0.0,0.0,0.0,0.0,4.035198480911717e-07,4.0088783404002015e-09,6.296664301075339e-10,3.855073983372037e-07
3.86639,0.0,0.0,0.0,0.0,4.2454673432335e-07,4.21389334537281e-09,6.599825130848558e-10,4.055756216425621e-07
3.93333,0.0,0.0,0.0,0.0,4.434571313494118e-07,4.398156838725242e-09,6.871835322996844e-10,4.236233417387325e-07
4.0,0.0,0.0,0.0,0.0,4.5634658718540777e-07,4.523078689366855e-09,7.053063688644556e-10,4.359213473525969e-07
4.06639,0.0,0.0,0.0,0.0,4.667209342334999e-07,4.623479488152782e-09,7.198167617517015e-10,4.4581886249339675e-07
4.13306,0.0,0.0,0.0,0.0,4.78633556122432e-07,4.7395430913255154e-09,7.369855836714123e-10,4.571878368109239e-07
4.2,0.0,0.0,0.0,0.0,4.881776265452942e-07,4.832577005231542e-09,7.507938715178852e-10,4.662964186996632e-07
4.26667,0.0,0.0,0.0,0.0,4.915148373862976e-07,4.864599945086923e-09,7.553460079634533e-10,4.6947840004474273e-07
4.33333,0.0,0.0,0.0,0.0,4.947419385281648e-07,4.895926664083561e-09,7.599936235891391e-10,4.725570491581621e-07
4.39972,0.0,0.0,0.0,0.0,4.942047394651539e-07,4.890362559351047e-09,7.591001160989208e-10,4.7204186659488556e-07
4.46639,0.0,0.0,0.0,0.0,4.961673590875293e-07,4.90984930490157e-09,7.622560360687203e-10,4.7391585134004544e-07
4.53333,0.0,0.0,0.0,0.0,4.967136998379473e-07,4.915585716247506e-09,7.634135545941945e-10,4.744382792187807e-07
4.6,0.0,0.0,0.0,0.0,4.921952029279808e-07,4.8714052791609674e-09,7.569223026138161e-10,4.701239614268715e-07
4.66639,0.0,0.0,0.0,0.0,4.867584800782865e-07,4.81829898202335e-09,7.491254283564786e-10,4.6493334171504586e-07
4.73306,0.0,0.0,0.0,0.0,4.848393506673432e-07,4.8001210783965576e-09,7.468113905062523e-10,4.6310311496711165e-07
