  2.0036E-01,  1.1837E+00,  3.0540E+02,  3.0422E+02,  3.0304E+02,  3.0136E+02,  2.9968E+02,  2.9834E+02,  2.9700E+02,  2.9516E+02,  2.9040E+02,  2.8943E+02,  2.8846E+02,  2.8516E+02,  2.8190E+02,  2.8001E+02,  2.7813E+02,  2.7688E+02,  2.7201E+02,  2.6597E+02,  2.6109E+02,  2.5277E+02,  2.4142E+02,  2.3058E+02,  2.1937E+02,  2.0563E+02,  1.7108E+02,  1.1712E+02,  8.0183E+01,  3.1761E+01,  1.2581E+01
  2.0240E-01,  1.1808E+00,  2.0331E+02,  2.0221E+02,  2.0111E+02,  2.0034E+02,  1.9957E+02,  1.9885E+02,  1.9813E+02,  1.9706E+02,  1.9442E+02,  1.9344E+02,  1.9246E+02,  1.9061E+02,  1.8877E+02,  1.8747E+02,  1.8617E+02,  1.8617E+02,  1.8617E+02,  1.8617E+02,  1.8419E+02,  1.7765E+02,  1.6957E+02,  1.6185E+02,  1.5372E+02,  1.4378E+02,  1.1895E+02,  8.0912E+01,  5.5037E+01,  2.1210E+01,  8.1734E+00
  2.0435E-01,  1.1779E+00,  1.4328E+02,  1.4250E+02,  1.4172E+02,  1.4111E+02,  1.4050E+02,  1.4001E+02,  1.3952E+02,  1.3876E+02,  1.3695E+02,  1.3624E+02,  1.3554E+02,  1.3410E+02,  1.3267E+02,  1.3172E+02,  1.3078E+02,  1.3078E+02,  1.3078E+02,  1.2852E+02,  1.2592E+02,  1.2192E+02,  1.1658E+02,  1.1147E+02,  1.0598E+02,  9.8798E+01,  8.1537E+01,  5.5213E+01,  3.7388E+01,  1.4583E+01,  5.6878E+00
  2.0621E-01,  1.1747E+00,  8.6977E+01,  8.6482E+01,  8.5989E+01,  8.5499E+01,  8.5012E+01,  8.4702E+01,  8.4393E+01,  8.3912E+01,  8.2974E+01,  8.2515E+01,  8.2058E+01,  8.1022E+01,  7.9999E+01,  7.9421E+01,  7.8847E+01,  7.8412E+01,  7.6805E+01,  7.5445E+01,  7.3906E+01,  7.1209E+01,  6.8023E+01,  6.4980E+01,  6.1978E+01,  5.7599E+01,  4.7624E+01,  3.2063E+01,  2.1587E+01,  8.3416E+00,  3.2233E+00
  2.0798E-01,  1.1714E+00,  3.7969E+01,  3.7763E+01,  3.7557E+01,  3.7353E+01,  3.7150E+01,  3.7029E+01,  3.6909E+01,  3.6708E+01,  3.6304E+01,  3.6109E+01,  3.5914E+01,  3.5449E+01,  3.4989E+01,  3.4734E+01,  3.4481E+01,  3.4302E+01,  3.3662E+01,  3.2882E+01,  3.2193E+01,  3.0985E+01,  2.9516E+01,  2.8117E+01,  2.6827E+01,  2.4932E+01,  2.0446E+01,  1.3628E+01,  9.0839E+00,  3.7830E+00,  1.5754E+00
  2.0970E-01,  1.1681E+00,  1.3736E+01,  1.3668E+01,  1.3599E+01,  1.3532E+01,  1.3464E+01,  1.3430E+01,  1.3395E+01,  1.3334E+01,  1.3205E+01,  1.3139E+01,  1.3074E+01,  1.2895E+01,  1.2718E+01,  1.2626E+01,  1.2535E+01,  1.2470E+01,  1.2254E+01,  1.1925E+01,  1.1651E+01,  1.1132E+01,  9.9730E+00,  8.9344E+00,  8.4328E+00,  7.2862E+00,  4.7016E+00,  2.7337E+00,  1.5895E+00,  0.0000E+00,  0.0000E+00
  2.1140E-01,  1.1646E+00,  5.1167E+00,  5.0861E+00,  5.0557E+00,  5.0254E+00,  4.9954E+00,  4.9797E+00,  4.9640E+00,  4.9402E+00,  4.8857E+00,  4.8565E+00,  4.8275E+00,  4.7481E+00,  4.6701E+00,  4.6317E+00,  4.5937E+00,  4.5634E+00,  4.4693E+00,  4.3288E+00,  4.2040E+00,  3.9597E+00,  3.2928E+00,  2.7382E+00,  2.5315E+00,  2.0707E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.1313E-01,  1.1609E+00,  2.1387E+00,  2.1237E+00,  2.1089E+00,  2.0941E+00,  2.0794E+00,  2.0716E+00,  2.0638E+00,  2.0535E+00,  2.0279E+00,  2.0137E+00,  1.9996E+00,  1.9611E+00,  1.9233E+00,  1.9055E+00,  1.8879E+00,  1.8728E+00,  1.8278E+00,  1.7616E+00,  1.7002E+00,  1.5779E+00,  1.2561E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.1497E-01,  1.1572E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.1695E-01,  1.1534E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
