Time (s),Time Step (s),Dose Rate (rad/s),Dose (rad),Total Dose (rad),A,B,C,X,Z
15680000.0,20000.0,0.0023,46.0,36110.0,0.999999615847972,0.6502581611683489,0.4548179874420577,0.29574910818036165,0.9999997294605917
15700000.0,20000.0,0.0023,46.0,36156.0,0.999999640170401,0.6507265013743659,0.46492394359702316,0.3025383312220639,0.9999997490326474
15720000.0,20000.0,0.0023,46.0,36202.0,0.9999996629775474,0.6511942144247951,0.4750396870199291,0.3093430958095433,0.9999997672331162
15740000.0,20000.0,0.0023,46.0,36248.0,0.9999996843621057,0.6516613011594619,0.4851586737841946,0.3161591326270071,0.9999997841539086
15760000.0,20000.0,0.0023,46.0,36294.0,0.9999997044112172,0.6521277624170674,0.49527437857581164,0.3229821722831476,0.9999997998811244
15780000.0,20000.0,0.0023,46.0,36340.0,0.9999997232067945,0.6525935990351897,0.5053803071985283,0.32980795355619735,0.9999998144953952
15800000.0,20000.0,0.0023,46.0,36386.0,0.9999997408258272,0.6530588118502851,0.5154700089002994,0.33663223155688543,0.9999998280722073
15820000.0,20000.0,0.0023,46.0,36432.0,0.9999997573406717,0.6535234016976899,0.5255370884828301,0.34345078578359894,0.9999998406822088
15840000.0,20000.0,0.0023,46.0,36478.0,0.9999997728193234,0.6539873694116216,0.5355752181580138,0.3502594280452148,0.9999998523914972
15860000.0,20000.0,0.0023,46.0,36524.0,0.9999997873256733,0.6544507158251809,0.5455781491158777,0.3570540102274634,0.9999998632618946
15880000.0,20000.0,0.0023,46.0,36570.0,0.9999998009197502,0.6549134417703526,0.5555397227709316,0.3638304318800583,0.9999998733512034
15900000.0,20000.0,0.0023,46.0,36616.0,0.9999998136579489,0.6553755480780077,0.5654538816548322,0.3705846476023726,0.9999998827134521
15920000.0,20000.0,0.0023,46.0,36662.0,0.9999998255932452,0.6558370355779044,0.5753146799254609,0.3773126742067651,0.999999891399124
15940000.0,20000.0,0.0023,46.0,36708.0,0.999999836775399,0.6562979050986897,0.5851162934645558,0.38401059763989814,0.9999998994553755
15960000.0,20000.0,0.0023,46.0,36754.0,0.9999998472511447,0.6567581574679009,0.5948530295376793,0.39067457964336505,0.9999999069262396
15980000.0,20000.0,0.0023,46.0,36800.0,0.9999998570643711,0.6572177935119675,0.6045193359926118,0.39730086413638405,0.9999999138528198
16000000.0,20000.0,0.0023,46.0,36846.0,0.9999998662562919,0.657676814056212,0.6141098099744932,0.4038857833046904,0.9999999202734742
16020000.0,20000.0,0.0023,46.0,36892.0,0.999999874865604,0.6581352199248519,0.6236192061380904,0.4104257633810537,0.9999999262239839
16040000.0,20000.0,0.0023,46.0,36938.0,0.9999998829286387,0.6585930119410008,0.6330424443398249,0.41691733010425874,0.999999931737718
16060000.0,20000.0,0.0023,46.0,36984.0,0.9999998904795029,0.6590501909266703,0.6423746167946308,0.4233571138449481,0.9999999368457845
16080000.0,20000.0,0.0023,46.0,37030.0,0.9999998975502127,0.659506757702771,0.6516109946848361,0.4297418543880738,0.9999999415771744
16100000.0,20000.0,0.0023,46.0,37076.0,0.9999999041708187,0.6599627130891143,0.6607470342107561,0.4360684053633164,0.999999945958897
16120000.0,20000.0,0.0023,46.0,37122.0,0.9999999103695247,0.6604180579044139,0.6697783820746872,0.4423337383161255,0.999999950016108
16140000.0,20000.0,0.0023,46.0,37168.0,0.9999999161727983,0.660872792966287,0.6787008803927566,0.4485349464138389,0.9999999537722278
16160000.0,20000.0,0.0023,46.0,37214.0,0.9999999216054754,0.6613269190912561,0.6875105710307792,0.4546692477824554,0.9999999572490548
16180000.0,20000.0,0.0023,46.0,37260.0,0.9999999266908598,0.66178043709475,0.6962036993629095,0.46073398847136815,0.9999999604668725
16200000.0,20000.0,0.0023,46.0,37306.0,0.999999931450815,0.662233347791106,0.7047767174538618,0.46672664504469735,0.9999999634445461
16220000.0,20000.0,0.0023,46.0,37352.0,0.9999999359058516,0.6626856519935704,0.7132262866676848,0.4726448267993279,0.9999999661996193
16240000.0,20000.0,0.0023,46.0,37398.0,0.9999999400752096,0.663137350514301,0.7215492797079562,0.4784862776110364,0.9999999687483995
16260000.0,20000.0,0.0023,46.0,37444.0,0.9999999439769356,0.6635884441643676,0.7297427820963538,0.4842488774114965,0.9999999711060417
16280000.0,20000.0,0.0023,46.0,37490.0,0.9999999476279551,0.6640389337537542,0.7378040930985438,0.4899306433003126,0.9999999732866248
