Time (s),Altitude (km),L-shell,Dose Rate (rad/s),Total Dose (rad)
6640000.0,35786.0,6.75,0.0023,15318.0
6660000.0,35786.0,6.75,0.0023,15364.0
6680000.0,35786.0,6.75,0.0023,15410.0
6700000.0,35786.0,6.75,0.0023,15456.0
6720000.0,35786.0,6.75,0.0023,15502.0
6740000.0,35786.0,6.75,0.0023,15548.0
6760000.0,35786.0,6.75,0.0023,15594.0
6780000.0,35786.0,6.75,0.0023,15640.0
6800000.0,35786.0,6.75,0.0023,15686.0
6820000.0,35786.0,6.75,0.0023,15732.0
6840000.0,35786.0,6.75,0.0023,15778.0
6860000.0,35786.0,6.75,0.0023,15824.0
6880000.0,35786.0,6.75,0.0023,15870.0
6900000.0,35786.0,6.75,0.0023,15916.0
6920000.0,35786.0,6.75,0.0023,15962.0
6940000.0,35786.0,6.75,0.0023,16008.0
6960000.0,35786.0,6.75,0.0023,16054.0
6980000.0,35786.0,6.75,0.0023,16100.0
7000000.0,35786.0,6.75,0.0023,16146.0
7020000.0,35786.0,6.75,0.0023,16192.0
7040000.0,35786.0,6.75,0.0023,16238.0
7060000.0,35786.0,6.75,0.0023,16284.0
7080000.0,35786.0,6.75,0.0023,16330.0
7100000.0,35786.0,6.75,0.0023,16376.0
7120000.0,35786.0,6.75,0.0023,16422.0
7140000.0,35786.0,6.75,0.0023,16468.0
7160000.0,35786.0,6.75,0.0023,16514.0
7180000.0,35786.0,6.75,0.0023,16560.0
7200000.0,35786.0,6.75,0.0023,16606.0
7220000.0,35786.0,6.75,0.0023,16652.0
7240000.0,35786.0,6.75,0.0023,16698.0
7260000.0,35786.0,6.75,0.0023,16744.0
7280000.0,35786.0,6.75,0.0023,16790.0
7300000.0,35786.0,6.75,0.0023,16836.0
7320000.0,35786.0,6.75,0.0023,16882.0
7340000.0,35786.0,6.75,0.0023,16928.0
7360000.0,35786.0,6.75,0.0023,16974.0
7380000.0,35786.0,6.75,0.0023,17020.0
7400000.0,35786.0,6.75,0.0023,17066.0
7420000.0,35786.0,6.75,0.0023,17112.0
7440000.0,35786.0,6.75,0.0023,17158.0
7460000.0,35786.0,6.75,0.0023,17204.0
7480000.0,35786.0,6.75,0.0023,17250.0
