Time (s),A,B,Z
11560000.0,-0.44767180860564315,-0.015500243659024138,-0.9867468367102296
11580000.0,-0.4475856015869182,-0.014916200928285495,-0.9872778555201818
11600000.0,-0.44748130651599716,-0.014351347812441628,-0.9877899597492252
11620000.0,-0.44735948022259764,-0.013805186266199532,-0.9882837073338845
11640000.0,-0.4472206686019493,-0.013277225076177679,-0.9887596452747138
11660000.0,-0.4470654065605195,-0.012766980064217393,-0.9892183095820251
11680000.0,-0.44689421797835593,-0.012273974272514199,-0.989660225238232
11700000.0,-0.446707615687291,-0.01179773813112217,-0.9900859061760576
11720000.0,-0.44650610146428893,-0.0113378096083816,-0.9904958552718818
11740000.0,-0.44629016603920346,-0.010893734344821215,-0.9908905643535019
11760000.0,-0.4460602891162362,-0.010465065771107063,-0.991270514221593
11780000.0,-0.44581693940838707,-0.010051365210597796,-0.9916361746841602
11800000.0,-0.44556057468420707,-0.009652201967073948,-0.9919880046032935
11820000.0,-0.44529164182616854,-0.009267153398209826,-0.9923264519535395
11840000.0,-0.44501057689998647,-0.00889580497535103,-0.9926519538912254
11860000.0,-0.44471780523423865,-0.00853775033017079,-0.9929649368340805
11880000.0,-0.44441374150963964,-0.008192591288748607,-0.9932658165505124
11900000.0,-0.44409878985734996,-0.007859937893645697,-0.9935549982579185
11920000.0,-0.4437733439657092,-0.007539408414513393,-0.9938328767294202
11940000.0,-0.4434377871947981,-0.0072306293477879535,-0.9940998364084277
11960000.0,-0.44309249269825957,-0.00693323540600177,-0.9943562515304627
11980000.0,-0.442737823551813,-0.006646869497243912,-0.9946024862516745
12000000.0,-0.4423741328879297,-0.0063711826952876915,-0.9948388947835173
12020000.0,-0.44200176403613123,-0.006105834200895166,-0.9950658215330513
12040000.0,-0.4416210506684214,-0.005850491294802862,-0.9952836012483754
12060000.0,-0.4412323169493495,-0.0056048292828720925,-0.9954925591686934
12080000.0,-0.4408358776902408,-0.005368531433886381,-0.9956930111785458
12100000.0,-0.4404320385071402,-0.005141288910463504,-0.9958852639657555
12120000.0,-0.4400210959820331,-0.004922800693535678,-0.996069615182651
12140000.0,-0.43960333782692995,-0.004712773500838763,-0.9962463536101522
12160000.0,-0.4391790430504058,-0.004510921699847126,-0.9964157593243123
12180000.0,-0.4387484821262244,-0.0043169672155638494,-0.996578103864944
12200000.0,-0.43831191716367424,-0.004130639433578942,-0.996733650405957
12220000.0,-0.4378696020792694,-0.003951675098778695,-0.9968826539270608
12240000.0,-0.43742178276948807,-0.0037798182100946542,-0.9970253613865055
12260000.0,-0.4369686972842298,-0.003614819911646583,-0.9971620118945409
12280000.0,-0.4365105760006962,-0.0034564383806406918,-0.9972928368872984
12300000.0,-0.4360476417974122,-0.0033044387123559726,-0.997418060300815
12320000.0,-0.43558011022812104,-0.0031585928025487098,-0.9975378987449303
12340000.0,-0.4351081896953015,-0.0030186792275799235,-0.9976525616768044
12360000.0,-0.4346320816230703,-0.0028844831225759426,-0.9977622515738237
12380000.0,-0.4341519806292512,-0.002755796057898774,-0.9978671641056708
12400000.0,-0.43366807469639723,-0.0026324159142063763,-0.9979674883053493
12420000.0,-0.43318054534157613,-0.002514146756357083,-0.9980634067389708
12440000.0,-0.43268956778473855,-0.002400798706416518,-0.9981550956741247
12460000.0,-0.43219531111549636,-0.0022921878159911646,-0.9982427252466592
12480000.0,-0.43169793845816185,-0.0021881359381248355,-0.9983264596257215
12500000.0,-0.43119760713489763,-0.0020884705989600016,-0.9984064571769103
12520000.0,-0.43069446882685203,-0.001993024869373139,-0.9984828706234127
12540000.0,-0.4301886697331553,-0.0019016372367687273,-0.9985558472050019
12560000.0,-0.42968035072766453,-0.0018141514772119782,-0.9986255288347852
12580000.0,-0.42916964751336484,-0.0017304165280697115,-0.9986920522536054
12600000.0,-0.4286566907743302,-0.0016502863613149232,-0.9987555491820049
12620000.0,-0.4281416063251653,-0.0015736198576427052,-0.998816146469669
12640000.0,-0.42762451525786105,-0.0015002806815361813,-0.9988739662422825
12660000.0,-0.4271055340859946,-0.0014301371574110266,-0.9989291260457329
12680000.0,-0.42658477488622637,-0.0013630621469538085,-0.9989817389876081
12700000.0,-0.4260623454370416,-0.0012989329277687256,-0.9990319138759406
12720000.0,-0.4255383493547017,-0.0012376310734314444,-0.9990797553551604
12740000.0,-0.425012886226372,-0.0011790423350429569,-0.9991253640392244
12760000.0,-0.4244860517403991,-0.0011230565243701696,-0.9991688366418959
12780000.0,-0.4239579378137225,-0.0010695673986494958,-0.9992102661041581
12800000.0,-0.4234286327164041,-0.0010184725471237277,-0.9992497417187449
12820000.0,-0.4228982211932687,-0.0009696732793749163,-0.9992873492517842
12840000.0,-0.42236678458265786,-0.000923074515510991,-0.9993231710615526
12860000.0,-0.4218344009322932,-0.0008785846782543016,-0.999357286214341
12880000.0,-0.42130114511226313,-0.0008361155869771597,-0.9993897705974432
12900000.0,-0.42076708892513937,-0.0007955823537197926,-0.9994206970292744
12920000.0,-0.4202323012132456,-0.0007569032812283494,-0.9994501353666411
12940000.0,-0.41969684796309226,-0.0007199997630330524,-0.999478152609178
12960000.0,-0.4191607924070032,-0.0006847961855938056,-0.9995048130009772
12980000.0,-0.41862419512196225,-0.00065121983252725,-0.9995301781294349
13000000.0,-0.4180871141257063,-0.0006192007909320285,-0.9995543070213482
13020000.0,-0.41754960497009863,-0.0005886718598149265,-0.9995772562362888
13040000.0,-0.41701172083181726,-0.0005595684606273243,-0.9995990799572941
13060000.0,-0.41647351260039533,-0.0005318285499109621,-0.9996198300789086
13080000.0,-0.415935028963651,-0.000505392534050686,-0.9996395562926165
13100000.0,-0.4153963164905492,-0.00048020318612551627,-0.9996583061697044
13120000.0,-0.4148574197115391,-0.0004562055648549279,-0.9996761252416009
13140000.0,-0.4143183811964063,-0.00043334693562058213,-0.9996930570777307
13160000.0,-0.4137792416296904,-0.00041157669355573745,-0.9997091433609341
13180000.0,-0.41324003988371183,-0.0003908462886815789,-0.9997244239604951
13200000.0,-0.4127008130892533,-0.00037110915307025927,-0.9997389370028251
13220000.0,-0.4121615967039497,-0.0003523206300175552,-0.9997527189398544
13240000.0,-0.41162242457842657,-0.00033443790519527283,-0.9997658046151724
13260000.0,-0.4110833290202458,-0.0003174199397665278,-0.9997782273279754
13280000.0,-0.41054434085570046,-0.00030122740542670723,-0.9997900188948626
13300000.0,-0.410005489489513,-0.0002858226213519055,-0.9998012097095367
13320000.0,-0.40946680296248594,-0.0002711694930194186,-0.9998118288004565
13340000.0,-0.4089283080071551,-0.0002572334528709863,-0.9998219038864906
13360000.0,-0.408390030101494,-0.0002439814027871412,-0.9998314614306254
13380000.0,-0.40785199352072177,-0.00023138165834069024,-0.9998405266917735
13400000.0,-0.4073142213872646,-0.0002194038947942456,-0.999849123774737
13420000.0,-0.40677673571891537,-0.00020801909480916425,-0.9998572756783697
13440000.0,-0.4062395574752482,-0.00019719949783181256,-0.9998650043419928
13460000.0,-0.40570270660233043,-0.00018691855111985234,-0.9998723306901085
13480000.0,-0.40516620207578136,-0.00017715086237246602,-0.9998792746754608
13500000.0,-0.40463006194223017,-0.00016787215393554433,-0.9998858553204952
13520000.0,-0.4040943033592117,-0.0001590592185343187,-0.9998920907572563
13540000.0,-0.40355894263355596,-0.00015068987650945775,-0.9998979982657785
13560000.0,-0.4030239952583077,-0.0001427429345098874,-0.999903594311008
13580000.0,-0.4024894759482298,-0.00013519814561391286,-0.9999088945783077
13600000.0,-0.40195539867392927,-0.00012803617084056196,-0.9999139140075846
13620000.0,-0.4014217766946494,-0.00012123854201029349,-0.9999186668260843
13640000.0,-0.4008886225897754,-0.00011478762592687097,-0.999923166579898
13660000.0,-0.4003559482890894,-0.00010866658984087785,-0.9999274261642189
13680000.0,-0.3998237651018205,-0.00010285936815923602,-0.9999314578523952
