Run,REG_TID,REG_DSEE,MCU_TID,MCU_SEL,WDT_TID,MCU_SEFI,SRAM_TID,SRAM_SEL,REG,WDT,Harden_MCU_SEFI,Harden_SRAM_SEL,Harden_MCU_SEL,SRAM,MCU,Payload
737,1089248.3346132867,801731959.7602521,852125.4610798337,3.7795470609997497,inf,835.0201454622821,inf,730.4222396773205,1089248.3346132867,inf,inf,inf,inf,inf,852125.4610798337,852125.4610798337
738,1124074.3902227983,1450638506.3536682,739734.3347935473,1079.6881058471104,inf,1002.8116124426019,inf,252.55317014940698,1124074.3902227983,inf,inf,inf,inf,inf,739734.3347935473,739734.3347935473
739,1127093.198410582,6806730231.8160715,738986.7793987067,749.0733269405549,inf,559.0623858169075,inf,362.3455980852046,1127093.198410582,inf,inf,inf,inf,inf,738986.7793987067,738986.7793987067
740,1185353.9415866276,5786435370.717501,740839.2154534811,930.0185089463173,inf,432.81629241967164,inf,421.54688429625224,1185353.9415866276,inf,inf,inf,inf,inf,740839.2154534811,740839.2154534811
741,1123807.3137040085,3437672722.034643,736413.0330708151,1166.64859848071,inf,675.2287893760782,inf,410.11383723167125,1123807.3137040085,inf,inf,inf,inf,inf,736413.0330708151,736413.0330708151
742,968343.382097328,7801380921.923881,697423.2680678273,725.5886628161745,inf,78.44552274239493,inf,269.02174545165195,968343.382097328,inf,inf,inf,inf,inf,697423.2680678273,697423.2680678273
743,1232086.69465014,5702120657.565335,816401.0864319532,735.7890825608117,inf,724.9022303465879,inf,639.7269843543518,1232086.69465014,inf,inf,inf,inf,inf,816401.0864319532,816401.0864319532
744,1083800.6053077155,5932498050.330014,777658.1225354896,1032.2795131716493,inf,980.6937343066409,inf,1024.0546882012081,1083800.6053077155,inf,inf,inf,inf,inf,777658.1225354896,777658.1225354896
745,1183988.3033271139,3161325755.4095855,777715.9842259649,899.1635037711592,inf,557.0730329485951,inf,860.3760292298939,1183988.3033271139,inf,inf,inf,inf,inf,777715.9842259649,777715.9842259649
746,1049756.8209723409,6373315608.071413,658745.0628684899,843.609261451174,inf,446.33753345265075,inf,395.174932857627,1049756.8209723409,inf,inf,inf,inf,inf,658745.0628684899,658745.0628684899
747,1085104.817848386,1341847376.9119842,814207.8528912684,644.6653848758581,inf,780.5098240894984,inf,155.22513210912697,1085104.817848386,inf,inf,inf,inf,inf,814207.8528912684,814207.8528912684
748,890465.9940764965,1023552491.7695585,812597.5454551807,986.3458084493344,inf,970.8747868198329,inf,418.54302523239755,890465.9940764965,inf,inf,inf,inf,inf,812597.5454551807,812597.5454551807
749,1308388.4898045794,2236302649.4744735,738681.5503044262,824.211700833062,inf,850.4363250327034,inf,493.3299404258875,1308388.4898045794,inf,inf,inf,inf,inf,738681.5503044262,738681.5503044262
750,1010407.5329645614,156553.7872847167,697033.3342999701,228.7387518492676,inf,803.5073069921075,inf,534.9648804895405,156553.7872847167,inf,inf,inf,inf,inf,697033.3342999701,156553.7872847167
751,1257426.78771531,564236239.7869507,661573.5801354917,833.1790745710003,inf,134.76587654954267,inf,1000.5944994301503,1257426.78771531,inf,inf,inf,inf,inf,661573.5801354917,661573.5801354917
752,1385725.5405791148,3163864680.172572,735272.9488308307,83.24536495437306,inf,797.5709215373656,inf,439.067054253024,1385725.5405791148,inf,inf,inf,inf,inf,735272.9488308307,735272.9488308307
753,1123098.6801012421,1307071708.7114453,699974.4000968371,604.6081927489798,inf,463.9424487117751,inf,731.2773217313152,1123098.6801012421,inf,inf,inf,inf,inf,699974.4000968371,699974.4000968371
754,1010462.5730769684,1083032371.596499,774515.4862382824,813.0279647402267,inf,637.3770124670283,inf,815.1539848091707,1010462.5730769684,inf,inf,inf,inf,inf,774515.4862382824,774515.4862382824
755,1010781.9657595824,3655272640.9991937,735235.3285162481,1014.5796041408457,inf,860.8972032644065,inf,554.9940702280941,1010781.9657595824,inf,inf,inf,inf,inf,735235.3285162481,735235.3285162481
756,1246759.7746368898,220533570.5368404,623262.6393147712,684.9143975437559,inf,606.1839266980616,inf,262.52042254757873,1246759.7746368898,inf,inf,inf,inf,inf,623262.6393147712,623262.6393147712
757,1328135.7912565353,1004366666.747529,856852.5987832156,710.5257876230446,inf,880.7348311570902,inf,952.0671635216225,1328135.7912565353,inf,inf,inf,inf,inf,856852.5987832156,856852.5987832156
758,1085257.906778168,1229639735.2196796,661899.4927982574,709.655652874807,inf,493.5606260295503,inf,388.44308707755346,1085257.906778168,inf,inf,inf,inf,inf,661899.4927982574,661899.4927982574
759,1049928.1362171639,7124516141.731484,696960.8129301539,630.6639298928518,inf,901.4171763095044,inf,148.27106186421412,1049928.1362171639,inf,inf,inf,inf,inf,696960.8129301539,696960.8129301539
760,1011139.420006734,4431403294.732596,736078.8896093505,521.571701234985,inf,494.3352247486239,inf,64.86542717203223,1011139.420006734,inf,inf,inf,inf,inf,736078.8896093505,736078.8896093505
