Time (s),REG_SET,MCU_SEFI,REG_DSEE,SRAM_SEL,MCU_SEL,SRAM_TID,MCU_TID,REG_TID,WDT_TID
386442.0,1.0,0.9999999999999999,0.00022697143549293614,0.9999999999999999,1.0,0.0,1.9127144312847122e-11,0.0,0.0
386501.0,0.9999999999999999,0.9999999999999999,0.00022750857316215,0.9999999999999999,1.0,0.0,2.234384899324482e-11,0.0,0.0
386562.0,1.0,0.9999999999999999,0.00022802679760994897,0.9999999999999999,1.0,0.0,2.5992430430221702e-11,0.0,0.0
386622.0,1.0,0.9999999999999999,0.00022854549822315994,1.0,0.9999999999999999,0.0,3.0359048608374906e-11,0.0,0.0
386681.0,1.0,1.0,0.0002290233887412373,0.9999999999999999,1.0,0.0,3.5259462016767884e-11,0.0,0.0
386742.0,1.0,1.0,0.00022944773095862265,1.0,1.0,0.0,4.0645875554190525e-11,0.0,0.0
386801.0,1.0,1.0,0.000229828801629816,1.0,1.0,0.0,4.6753323434955973e-11,0.0,0.0
386862.0,1.0,0.9999999999999999,0.0002301357378033072,1.0,1.0,0.0,5.3083371032158766e-11,0.0,0.0
386921.0,0.9999999999999999,1.0,0.00023038950634599465,1.0,1.0,0.0,5.987499385184947e-11,0.0,0.0
386982.0,0.9999999999999999,0.9999999999999999,0.00023057862999772622,0.9999999999999999,0.9999999999999999,0.0,6.639716554346364e-11,0.0,0.0
387041.0,0.9999999999999999,0.9999999999999999,0.00023072384655549037,1.0,1.0,0.0,7.271566682121033e-11,0.0,0.0
387102.0,1.0,1.0,0.0002308253511357837,1.0,1.0,0.0,7.808553803556606e-11,0.0,0.0
387162.0,0.9999999999999999,1.0,0.00023089906522821252,1.0,0.9999999999999999,0.0,8.261047401703081e-11,0.0,0.0
387221.0,1.0,0.9999999999999999,0.00023094885641201918,1.0,0.9999999999999999,0.0,8.596579004205296e-11,0.0,0.0
387282.0,0.9999999999999999,1.0,0.00023098190969819313,1.0,0.9999999999999998,0.0,8.826339659151472e-11,0.0,0.0
387341.0,1.0,1.0,0.0002310046648586101,1.0,0.9999999999999998,0.0,8.979333943059942e-11,0.0,0.0
387402.0,0.9999999999999999,1.0,0.0002310192225716112,1.0,0.9999999999999999,0.0,9.068118478339215e-11,0.0,0.0
387461.0,1.0,1.0,0.00023102917307890047,1.0,0.9999999999999998,0.0,9.11987707574724e-11,0.0,0.0
387522.0,1.0,1.0,0.0002310355634381493,1.0,0.9999999999999998,0.0,9.146672308446568e-11,0.0,0.0
387581.0,1.0,1.0,0.00023103998347380388,1.0,0.9999999999999997,0.0,9.160855407586155e-11,0.0,0.0
387642.0,0.9999999999999999,1.0,0.00023104291804613078,1.0,0.9999999999999997,0.0,9.167838710411047e-11,0.0,0.0
387702.0,1.0,1.0,0.0002310450593630083,0.9999999999999999,0.9999999999999997,0.0,9.171541304198172e-11,0.0,0.0
387761.0,1.0,0.9999999999999999,0.0002310466045591568,0.9999999999999999,0.9999999999999998,0.0,9.173484194491266e-11,0.0,0.0
387822.0,0.9999999999999999,1.0,0.000231047766601745,0.9999999999999998,0.9999999999999997,0.0,9.174561110825152e-11,0.0,0.0
387881.0,0.9999999999999999,1.0,0.00023104872504617178,0.9999999999999997,0.9999999999999996,0.0,9.175238346870174e-11,0.0,0.0
387942.0,1.0,0.9999999999999999,0.00023104950943919132,0.9999999999999996,0.9999999999999994,0.0,9.175687987195147e-11,0.0,0.0
388001.0,0.9999999999999999,0.9999999999999999,0.00023105023478798583,0.9999999999999996,0.9999999999999993,0.0,9.176043258563027e-11,0.0,0.0
388062.0,0.9999999999999998,0.9999999999999998,0.00023105089979966645,0.9999999999999997,0.9999999999999993,0.0,9.176348569894799e-11,0.0,0.0
388121.0,0.9999999999999997,0.9999999999999997,0.00023105158850635662,0.9999999999999997,0.9999999999999993,0.0,9.176664983456817e-11,0.0,0.0
388180.0,0.9999999999999996,0.9999999999999997,0.00023105229359670693,0.9999999999999997,0.9999999999999992,0.0,9.177014703709574e-11,0.0,0.0
388239.0,0.9999999999999997,0.9999999999999998,0.0002310538130396234,0.9999999999999997,0.9999999999999992,0.0,9.178929838427052e-11,0.0,0.0
388300.0,0.9999999999999998,0.9999999999999998,0.00023105550690589278,0.9999999999999998,0.9999999999999991,0.0,9.18132236904512e-11,0.0,0.0
388359.0,0.9999999999999997,0.9999999999999999,0.00023105759823973085,0.9999999999999999,0.9999999999999992,0.0,9.184858429378551e-11,0.0,0.0
388420.0,0.9999999999999997,0.9999999999999999,0.0002310601637766712,0.9999999999999999,0.9999999999999993,0.0,9.190292971084091e-11,0.0,0.0
388479.0,0.9999999999999996,0.9999999999999999,0.00023106374251943796,0.9999999999999999,0.9999999999999993,0.0,9.200096240391531e-11,0.0,0.0
388540.0,0.9999999999999997,1.0,0.000231068674081583,0.9999999999999998,0.9999999999999992,0.0,9.217721030907455e-11,0.0,0.0
388599.0,0.9999999999999997,1.0,0.00023107626023666778,0.9999999999999998,0.9999999999999993,0.0,9.25255427830507e-11,0.0,0.0
388660.0,0.9999999999999999,0.9999999999999999,0.00023108751402862247,0.9999999999999997,0.9999999999999993,0.0,9.316575289020079e-11,0.0,0.0
388720.0,1.0,0.9999999999999999,0.0002311054837021888,0.9999999999999998,0.9999999999999994,0.0,9.436618153557674e-11,0.0,0.0
388779.0,1.0,1.0,0.00023113270478958723,1.0,0.9999999999999996,0.0,9.638706499615068e-11,0.0,0.0
388840.0,1.0,1.0,0.00023117315735044714,1.0,0.9999999999999996,0.0,9.955647417569935e-11,0.0,0.0
388899.0,0.9999999999999999,1.0,0.00023123462800710175,1.0,0.9999999999999996,0.0,1.0444139997289881e-10,0.0,0.0
388960.0,1.0,1.0,0.00023131909696652402,1.0,0.9999999999999997,0.0,1.1106920938530607e-10,0.0,0.0
389019.0,1.0,0.9999999999999999,0.00023143894843685291,0.9999999999999999,0.9999999999999997,0.0,1.2022544071399466e-10,0.0,0.0
389080.0,1.0,1.0,0.00023159271030345212,1.0,0.9999999999999998,0.0,1.3160994516425717e-10,0.0,0.0
389139.0,1.0,1.0,0.0002317968126806149,1.0,0.9999999999999999,0.0,1.4630507916280067e-10,0.0,0.0
389200.0,1.0,1.0,0.0002320427435127256,0.9999999999999999,1.0,0.0,1.6366275001900021e-10,0.0,0.0
389260.0,0.9999999999999999,1.0,0.0002323509104127982,1.0,0.9999999999999999,0.0,1.852478725972162e-10,0.0,0.0
389319.0,1.0,1.0,0.00023270724528285798,1.0,0.9999999999999999,0.0,2.1051871357258278e-10,0.0,0.0
389380.0,1.0,1.0,0.00023310728645552575,1.0,1.0,0.0,2.398457543684174e-10,0.0,0.0
389439.0,1.0,1.0,0.0002335663271561239,1.0,1.0,0.0,2.75442169073159e-10,0.0,0.0
389500.0,0.9999999999999999,1.0,0.00023404587920864016,1.0,1.0,0.0,3.155463668136349e-10,0.0,0.0
389559.0,1.0,1.0,0.00023456780214182384,1.0,1.0,0.0,3.6342112652576475e-10,0.0,0.0
389620.0,1.0,1.0,0.00023508615890904677,1.0,1.0,0.0,4.1632841618621796e-10,0.0,0.0
389679.0,0.9999999999999999,1.0,0.00023562379023364565,1.0,1.0,0.0,4.7810611025767e-10,0.0,0.0
389740.0,0.9999999999999999,1.0,0.00023613439638887356,1.0,1.0,0.0,5.447410300618571e-10,0.0,0.0
389800.0,1.0,0.9999999999999999,0.00023664256320759318,1.0,1.0,0.0,6.20500761883136e-10,0.0,0.0
389859.0,0.9999999999999999,1.0,0.0002371155421895683,1.0,1.0,0.0,7.013586378334935e-10,0.0,0.0
389920.0,1.0,1.0,0.00023754915432338636,1.0,0.9999999999999999,0.0,7.86183174117383e-10,0.0,0.0
389979.0,1.0,1.0,0.0002379621020594342,1.0,0.9999999999999999,0.0,8.784223348712317e-10,0.0,0.0
390040.0,1.0,1.0,0.00023832668922090221,1.0,0.9999999999999999,0.0,9.708626680371424e-10,0.0,0.0
390099.0,1.0,1.0,0.00023866856315865273,1.0,1.0,0.0,1.0684136353411589e-09,0.0,0.0
